sample_id,molecule_h5
SRR9262920,../2023-03-06_healthy_counts_ge/SRR9262920/outs/molecule_info.h5
SRR9262922,../2023-03-06_healthy_counts_ge/SRR9262922/outs/molecule_info.h5
SRR9262923,../2023-03-06_healthy_counts_ge/SRR9262923/outs/molecule_info.h5
SRR9262932,../2023-03-06_healthy_counts_ge/SRR9262932/outs/molecule_info.h5
SRR9262937,../2023-03-06_healthy_counts_ge/SRR9262937/outs/molecule_info.h5
SRR9262938,../2023-03-06_healthy_counts_ge/SRR9262938/outs/molecule_info.h5
SRR9262946,../2023-03-06_healthy_counts_ge/SRR9262946/outs/molecule_info.h5
SRR9262956,../2023-03-06_healthy_counts_ge/SRR9262956/outs/molecule_info.h5
SRR9264382,../2023-03-06_healthy_counts_ge/SRR9264382/outs/molecule_info.h5
SRR9264383,../2023-03-06_healthy_counts_ge/SRR9264383/outs/molecule_info.h5
SRR9264385,../2023-03-06_healthy_counts_ge/SRR9264385/outs/molecule_info.h5
SRR9264388,../2023-03-06_healthy_counts_ge/SRR9264388/outs/molecule_info.h5
SRR9264389,../2023-03-06_healthy_counts_ge/SRR9264389/outs/molecule_info.h5
