"sampleType","cluster","sampleCombined","nCells","percCells","nCellsxCluster","nCellsxTypexCluster"
"GBM","0","SF11159",566,6.45014245014245,8775,7414
"GBM","0","SF11209",2101,23.9430199430199,8775,7414
"GBM","0","SF11215",896,10.2108262108262,8775,7414
"GBM","0","SF11232",615,7.00854700854701,8775,7414
"GBM","0","SF11247",179,2.03988603988604,8775,7414
"GBM","0","SF11285",3057,34.8376068376068,8775,7414
"GBM","1","SF11159",513,6.01124912116241,8534,4824
"GBM","1","SF11209",1422,16.6627607218186,8534,4824
"GBM","1","SF11215",766,8.975861260839,8534,4824
"GBM","1","SF11232",351,4.11295992500586,8534,4824
"GBM","1","SF11247",323,3.78486055776892,8534,4824
"GBM","1","SF11285",1449,16.9791422545114,8534,4824
"GBM","2","SF11159",307,3.79480840543881,8090,5175
"GBM","2","SF11209",932,11.5203955500618,8090,5175
"GBM","2","SF11215",456,5.63658838071693,8090,5175
"GBM","2","SF11232",429,5.30284301606922,8090,5175
"GBM","2","SF11247",115,1.42150803461063,8090,5175
"GBM","2","SF11285",2936,36.291718170581,8090,5175
"GBM","3","SF11159",539,7.63888888888889,7056,5814
"GBM","3","SF11209",172,2.43764172335601,7056,5814
"GBM","3","SF11215",96,1.36054421768707,7056,5814
"GBM","3","SF11232",1102,15.6179138321995,7056,5814
"GBM","3","SF11247",2688,38.0952380952381,7056,5814
"GBM","3","SF11285",1217,17.2477324263039,7056,5814
"GBM","4","SF11159",138,2.76110444177671,4998,4470
"GBM","4","SF11209",1567,31.3525410164066,4998,4470
"GBM","4","SF11215",232,4.64185674269708,4998,4470
"GBM","4","SF11232",143,2.86114445778311,4998,4470
"GBM","4","SF11247",369,7.38295318127251,4998,4470
"GBM","4","SF11285",2021,40.4361744697879,4998,4470
"GBM","5","SF11159",394,8.91201085727211,4421,3087
"GBM","5","SF11209",312,7.05722687174847,4421,3087
"GBM","5","SF11215",66,1.49287491517756,4421,3087
"GBM","5","SF11232",862,19.4978511648948,4421,3087
