"cluster","sampleCombined","nCells"
"0","SF11159",566
"0","SF11209",2101
"0","SF11215",896
"0","SF11232",615
"0","SF11247",179
"0","SF11285",3057
"0","SRR10353960",363
"0","SRR10353961",500
"0","SRR10353962",498
"1","SF11159",513
"1","SF11209",1422
"1","SF11215",766
"1","SF11232",351
"1","SF11247",323
"1","SF11285",1449
"1","SRR10353960",480
"1","SRR10353961",1961
"1","SRR10353962",1269
"2","SF11159",307
"2","SF11209",932
"2","SF11215",456
"2","SF11232",429
"2","SF11247",115
"2","SF11285",2936
"2","SRR10353960",1371
"2","SRR10353961",688
"2","SRR10353962",856
"3","SF11159",539
"3","SF11209",172
"3","SF11215",96
"3","SF11232",1102
"3","SF11247",2688
"3","SF11285",1217
"3","SRR10353960",848
"3","SRR10353961",271
"3","SRR10353962",123
"4","SF11159",138
"4","SF11209",1567
"4","SF11215",232
"4","SF11232",143
"4","SF11247",369
"4","SF11285",2021
"4","SRR10353960",56
"4","SRR10353961",124
"4","SRR10353962",348
"5","SF11159",394
"5","SF11209",312
"5","SF11215",66
"5","SF11232",862
"5","SF11247",570
"5","SF11285",883
"5","SRR10353960",628
"5","SRR10353961",377
"5","SRR10353962",329
"6","SF11159",146
"6","SF11209",108
"6","SF11215",220
"6","SF11232",377
"6","SF11247",400
"6","SF11285",576
"6","SRR10353960",368
"6","SRR10353961",141
"6","SRR10353962",7
"7","SF11159",86
"7","SF11209",152
"7","SF11215",70
"7","SF11232",113
"7","SF11247",364
"7","SF11285",600
"7","SRR10353960",363
"7","SRR10353961",132
"7","SRR10353962",169
"8","SF11159",196
"8","SF11209",143
"8","SF11215",45
"8","SF11232",395
"8","SF11247",194
"8","SF11285",366
"8","SRR10353960",216
"8","SRR10353961",130
"8","SRR10353962",145
"9","SF11159",22
"9","SF11209",391
"9","SF11215",51
"9","SF11232",17
"9","SF11247",6
"9","SF11285",425
"9","SRR10353960",23
"9","SRR10353961",73
"9","SRR10353962",153
"10","SF11159",8
"10","SF11209",63
"10","SF11215",42
"10","SF11232",40
"10","SF11247",71
"10","SF11285",87
"10","SRR10353960",3
"10","SRR10353961",7
"10","SRR10353962",92
