"","GOID","Term","Class","Pvalue","p.adj","nlog10p.adj","OddsRatio","ExpCount","Count","Size","cluster"
"1","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","BP",3.53132006471816e-75,2.95995247824676e-71,70.5287152614414,52.1450592002383,6.18891126894943,79,105,"7"
"2","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP",7.17936510455453e-74,3.0088719153188e-70,69.5215962993501,38.6234601948888,7.07304145022792,83,120,"7"
"3","GO:0006613","cotranslational protein targeting to membrane","BP",5.73237928237524e-73,1.60162677149564e-69,68.7954386804893,45.1821878025169,6.42467931729036,79,109,"7"
"4","GO:0045047","protein targeting to ER","BP",2.70019010262532e-72,5.65824836005136e-69,68.2473179937768,37.1157894736842,7.07304145022792,82,120,"7"
"5","GO:0072599","establishment of protein localization to endoplasmic reticulum","BP",1.81042974645933e-70,3.03500442696441e-67,66.517840671111,33.5733703190014,7.30880949856885,82,124,"7"
"6","GO:0070972","protein localization to endoplasmic reticulum","BP",3.57211036969254e-68,4.99023818646048e-65,64.3018787247981,23.753662109375,8.95918583695537,88,152,"7"
"7","GO:0006413","translational initiation","BP",3.07929412426252e-66,3.68723476422406e-63,62.4332992102211,17.3799212598425,11.3168663203647,96,192,"7"
"8","GO:0019080","viral gene expression","BP",2.11369345489251e-59,2.21462231736363e-56,55.6547003278926,15.1261018609207,11.4936923566204,91,195,"7"
"9","GO:0019083","viral transcription","BP",5.70022019173651e-59,5.30880507190394e-56,55.2750032207411,16.4747359957116,10.4916781511714,87,178,"7"
"10","GO:0000956","nuclear-transcribed mRNA catabolic process","BP",3.7940079111091e-58,3.18013743109164e-55,54.4975541113756,13.7577564731637,12.3778225378989,93,210,"7"
"11","GO:0016032","viral process","BP",5.02215134715934e-56,3.82687932653542e-53,52.4171552322218,4.8156491031606,54.462419166755,191,924,"7"
"12","GO:0044403","symbiotic process","BP",2.89686903928192e-54,2.02346302393842e-51,50.6939047273467,4.57845047578453,57.9399978797837,195,983,"7"
"13","GO:0006402","mRNA catabolic process","BP",2.10999072943921e-53,1.36045709955072e-50,49.8663151486451,7.94286102326303,22.1621965440475,117,376,"7"
"14","GO:0006612","protein targeting to membrane","BP",1.80903177939718e-51,1.08309316963623e-48,47.9653341829698,12.1665437239738,12.3778225378989,87,210,"7"
"15","GO:0006401","RNA catabolic process","BP",6.15958070076906e-51,3.44197369558975e-48,47.4631924529811,7.15924002186987,24.4609350153716,120,415,"7"
"16","GO:0016071","mRNA metabolic process","BP",1.51614627385705e-48,7.94271129216865e-46,45.1000312232364,4.48753860518566,52.4583907558571,176,890,"7"
"17","GO:0006412","translation","BP",4.84591688113879e-46,2.38932207633561e-43,42.6217253041859,4.77031209952485,43.4992049189017,155,738,"7"
"18","GO:0043043","peptide biosynthetic process","BP",4.08626867918359e-44,1.90283911493983e-41,40.7205979297622,4.56750467469614,44.9727552210325,155,763,"7"
"19","GO:0090150","establishment of protein localization to membrane","BP",8.55061803304825e-44,3.77217265015845e-41,40.4234084380728,7.25961723941211,20.1581681331496,101,342,"7"
"20","GO:0006518","peptide metabolic process","BP",2.11654026306507e-43,8.87042024250571e-41,40.0520558046691,4.15513877995455,53.5782889854765,170,909,"7"
"21","GO:0034655","nucleobase-containing compound catabolic process","BP",1.72911229298823e-42,6.9016282094416e-40,39.1610484398485,5.2784981245597,32.7128167073041,128,555,"7"
"22","GO:0072594","establishment of protein localization to organelle","BP",5.38638529046038e-42,2.05221279566541e-39,38.6877776088664,5.08853233462214,34.4810770698611,131,585,"7"
"23","GO:0006605","protein targeting","BP",6.26739257280323e-42,2.2840558497929e-39,38.6412932809164,5.95398721984825,26.1702533658433,113,444,"7"
"24","GO:0043604","amide biosynthetic process","BP",6.21777807761912e-40,2.17155899360848e-37,36.6632283678902,3.96631296416345,53.4014629492208,164,906,"7"
"25","GO:0009057","macromolecule catabolic process","BP",1.98661323881846e-39,6.66071686711052e-37,36.1764790268843,3.25408724209324,84.4639033181384,215,1433,"7"
"26","GO:0046700","heterocycle catabolic process","BP",1.67331028096359e-38,5.3944949134757e-36,35.2680492120671,4.74220438406916,35.4830912753101,128,602,"7"
"27","GO:0044270","cellular nitrogen compound catabolic process","BP",2.01092340748446e-38,6.24280000056843e-36,35.204620578258,4.73194694052204,35.5420332873953,128,603,"7"
"28","GO:0051649","establishment of localization in cell","BP",2.17683869618166e-38,6.51652212549808e-36,35.1859841258463,2.59245303309812,164.742923778225,328,2795,"7"
"29","GO:0051641","cellular localization","BP",2.91286050203256e-38,8.41917128552999e-36,35.0747306547989,2.45227072116585,205.884448213718,381,3493,"7"
"30","GO:0019439","aromatic compound catabolic process","BP",9.26930587098758e-38,2.58984406035393e-35,34.5867263848634,4.61392967618558,36.5440474928443,129,620,"7"
"31","GO:0072657","protein localization to membrane","BP",1.37219499953604e-37,3.71023822132617e-35,34.4305982049709,4.46707186800677,38.7249019399979,133,657,"7"
"32","GO:1901361","organic cyclic compound catabolic process","BP",3.10420444121642e-37,8.13107550821125e-35,34.0898520058956,4.45523913980179,38.4891338916569,132,653,"7"
"33","GO:0044419","interspecies interaction between organisms","BP",7.0996330593031e-35,1.80330679706299e-32,31.7439303803565,2.63914137374384,132.619527191774,276,2250,"7"
"34","GO:0044265","cellular macromolecule catabolic process","BP",1.38058661479893e-34,3.40355206036606e-32,31.4680676020869,3.25627728334067,70.9072405385349,184,1203,"7"
"35","GO:0043603","cellular amide metabolic process","BP",1.64181638061805e-34,3.93191568638299e-32,31.4053958034877,3.26225193485225,70.3767624297678,183,1194,"7"
"36","GO:0033365","protein localization to organelle","BP",9.27609353873234e-34,2.15978377893485e-31,30.6655897249212,3.49169346709855,57.8810558676985,161,982,"7"
"37","GO:0046907","intracellular transport","BP",1.33261905825415e-32,3.01892241791521e-30,29.5201480475944,2.76124461969296,103.85582529418,230,1762,"7"
"38","GO:0048519","negative regulation of biological process","BP",6.42095644926731e-32,1.41632781467786e-29,28.8488362158351,2.09050498366822,358.249549454044,541,6078,"7"
