"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","nlog10p.adj","p_adj_FDR","nlog10p.FDR","cluster"
"FLAM-C",2.4796537413881e-150,1.60630723401809,0.921,0.717,8.05912262488547e-146,145.0937122361,6.84880363371394e-148,147.164385285537,7
"RPS27",1.44233700213172e-98,2.43638161960477,0.871,0.631,4.68773949062829e-94,93.3290365311466,1.24491712496494e-96,95.9048595589043,7
"B2M",1.62870097401325e-80,1.28492300584098,0.866,0.675,5.29344103564047e-76,75.2762619202227,9.37181685463459e-79,78.0281762070361,7
"RPS12",1.53925149511444e-79,2.10964600404126,0.839,0.586,5.00272128427144e-75,74.3007936922145,7.59180826697515e-78,77.1196547686585,7
"RPLP1",7.08156832625668e-74,1.86427539439406,0.893,0.745,2.30158052171668e-69,68.6379738265378,2.96352904804863e-72,71.5281908115174,7
"MBP",1.18002835111928e-71,1.53495844605492,0.439,0.048,3.83521014397276e-67,66.4162108346179,4.79299750851683e-70,69.3193927967619,7
"RPL41",4.44340935311732e-71,1.76041373591399,0.939,0.854,1.44415247385666e-66,65.8403869514625,1.75324237618715e-69,68.7561580409146,7
"RPS27A",2.53064466696647e-68,1.70249893691118,0.848,0.696,8.22484823210774e-64,63.0848721070639,8.96107765405308e-67,66.0476397591922,7
"FAM",1.26900585736039e-67,1.25246444609635,0.684,0.351,4.12439593700702e-63,62.3846396496438,4.2743831439383e-66,65.3691265514653,7
"RPS29",1.4919979022545e-64,1.65592528364114,0.737,0.474,4.84914238211734e-60,59.3143350637995,4.20499816941523e-63,62.3762341889298,7
"ATP5F1E",9.72768469710007e-64,1.18448231892936,0.756,0.497,3.16159480340449e-59,58.5000937909255,2.53470425786702e-62,61.5960727056281,7
"MIRb",1.13951331248709e-62,0.676516658749292,0.989,0.994,3.70353221691429e-58,57.4313838730814,2.8101212224012e-61,60.5512749451894,7
"RPL37A",2.59745565651799e-61,1.34770982351261,0.843,0.721,8.44199062924912e-57,56.0735551342555,6.07980722313787e-60,59.2161101909994,7
"RPS17",3.22944146257031e-57,1.58614957235486,0.781,0.619,1.04960076974998e-52,51.978975859468,6.55861567619058e-56,55.183187817276,7
"HSPA1A",1.6565239552731e-53,1.53289261558297,0.447,0.108,5.3838685070331e-49,48.2689055556502,3.01007839767388e-52,51.5214221930328,7
"RPS10",9.6547210404901e-53,1.63587630231134,0.541,0.258,3.13788088536969e-48,47.5033635463477,1.70938073806626e-51,50.76716119414,7
"CD74",2.19537624969491e-52,1.64572274421558,0.353,0.042,7.13519234913343e-48,47.146594314765,3.78976825103584e-51,50.4213873468587,7
"FLAM-A",1.14756364749347e-49,1.04920643306347,0.679,0.44,3.72969661071852e-45,44.4283264941027,1.74152241449283e-48,47.7590709315256,7
"DNAJB1",2.3925338047182e-48,1.38255326272811,0.451,0.133,7.77597411871462e-44,43.1092451935702,3.40627750960395e-47,46.4677199729383,7
"RPL39",2.6540571176157e-48,1.30394951876462,0.825,0.657,8.62595103796278e-44,43.0641930112959,3.72477942718972e-47,46.4288994400675,7
"IGKC",2.01368837380364e-46,3.21675239703094,0.258,0,6.54468858369922e-42,41.1841110136814,2.55128774699342e-45,44.5932405567238,7
"MT-ND4L",3.48438638545972e-46,1.53742411647,0.595,0.313,1.13246041913826e-41,40.9459769681674,4.29637285564274e-45,44.3668980359394,7
"HBB",1.65096256936761e-44,2.87153455092922,0.248,0,5.36579344670168e-40,39.270366049272,1.89998275691389e-43,42.7212503404214,7
"IGHM",6.33581766900367e-44,2.2322854583048,0.245,0,2.05920410060288e-39,38.6863006056051,7.1719378695853e-43,42.1443634813816,7
"SVA-F",6.91556186957942e-44,1.28749996978687,0.64,0.425,2.24762676323201e-39,38.6482758052589,7.76454548121071e-43,42.1098839618001,7
"SERF2",9.0711911110869e-44,1.05138052403103,0.698,0.492,2.94822782301435e-39,38.5304389596003,1.00218519395288e-42,41.9990520177101,7
"RPS15A",1.57728201959488e-43,1.38453080157783,0.83,0.747,5.12632429188532e-39,38.2901939237621,1.72875116592106e-42,41.7622675139815,7
"FRAM",2.76433058444438e-43,0.898086033669112,0.722,0.512,8.98435083250269e-39,38.0465132975252,2.9824535446232e-42,41.5254263122749,7
"IGLC1",1.2817394574855e-42,1.9627526561136,0.239,0,4.16578141077361e-38,37.3803035223348,1.36160168522113e-41,40.8659499197435,7
"RPL35A",1.19340652700619e-41,1.14077828421208,0.783,0.651,3.87869055342283e-37,36.4113148675517,1.23916873217711e-40,39.9068695536206,7
"IGLC2",9.42976489677035e-41,1.54799574965894,0.23,0,3.06476788909933e-36,35.5136024112925,9.50547833754734e-40,39.0220260235508,7
"UBA52",1.24988669936806e-40,1.06805665871839,0.741,0.593,4.06225676161613e-36,35.391232629767,1.24179390778942e-39,38.9059504751229,7
"(GAATG)n",2.78837883821291e-40,1.33960268820713,0.235,0.005,9.06251006207577e-36,35.0427514982249,2.73102920253335e-39,38.5636736559821,7
"RPL21",4.1975899441434e-40,1.89555339910601,0.749,0.604,1.36425870774605e-35,34.8651032655353,4.08230402314228e-39,38.3890946550202,7
"CYBA",5.65101297665717e-40,1.00484119326127,0.232,0.003,1.83663572754335e-35,34.735976971732,5.45737686766682e-39,38.2630160542988,7
"CD37",1.79191440348103e-39,1.57096885373144,0.223,0,5.82390100275369e-35,34.2347860159621,1.68342434776007e-38,37.773806395812,7
"HCST",6.16898618032604e-38,1.06728338369783,0.218,0.002,2.00498219846777e-33,32.6978894789747,5.60484862830939e-37,36.2514361120213,7
"CD52",1.66299772620649e-37,1.24669177603028,0.213,0,5.40490890994373e-33,32.2672116209044,1.46280245852941e-36,35.8348143184154,7
"RPS23",7.13269398240429e-37,1.16661380153506,0.839,0.705,2.31819687122122e-32,31.6348496846561,6.11816794391324e-36,35.2133786057898,7
"CD79A",8.26535196359033e-37,1.18171348402353,0.209,0,2.68632204168649e-32,31.5708419244508,7.00273071271058e-36,35.1547325739565,7
"SVA-D",1.23305887582112e-36,0.807973490616877,0.858,0.774,4.00756465230623e-32,31.3971194626324,1.03832579726157e-35,34.9836663557819,7
"CD79B",1.56632765927262e-36,1.09705151746386,0.208,0,5.09072152540195e-32,31.2932206592559,1.2952685613506e-35,34.8876401755053,7
