"GOID","Term","Class","Pvalue","p.adj","nlog10p.adj","OddsRatio","ExpCount","Count","Size","cluster"
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane","BP",2.81024961690491e-26,3.48971429596513e-23,22.4572101274147,183.764705882353,0.178098166012933,15,105,"7"
"GO:0006613","cotranslational protein targeting to membrane","BP",5.10939135573225e-26,3.48971429596513e-23,22.4572101274147,175.907384230288,0.184882858051521,15,109,"7"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP",2.35813939054137e-25,8.05304601869877e-23,22.094039819148,157.386554621849,0.203540761157638,15,120,"7"
"GO:0045047","protein targeting to ER","BP",2.35813939054137e-25,8.05304601869877e-23,22.094039819148,157.386554621849,0.203540761157638,15,120,"7"
"GO:0072599","establishment of protein localization to endoplasmic reticulum","BP",3.96300787388785e-25,1.08269375114616e-22,21.965494369779,151.578521316784,0.210325453196226,15,124,"7"
"GO:0070972","protein localization to endoplasmic reticulum","BP",9.70433348260088e-24,2.20935325620547e-21,20.6557348386985,120.418634607128,0.257818297466342,15,152,"7"
"GO:0019083","viral transcription","BP",1.1287128892052e-22,2.20260258093472e-20,19.6570638562206,101.070010826416,0.301918795717163,15,178,"7"
"GO:0006413","translational initiation","BP",3.63360205818888e-22,6.20437551435751e-20,19.2073019247724,93.0059820538385,0.325665217852221,15,192,"7"
"GO:0019080","viral gene expression","BP",4.61396482499249e-22,7.00297327882194e-20,19.1547175307821,91.4411764705882,0.330753736881162,15,195,"7"
"GO:0000956","nuclear-transcribed mRNA catabolic process","BP",1.44156368914592e-21,1.7901599994303e-19,18.7471081512747,84.3393665158371,0.356196332025867,15,210,"7"
"GO:0006612","protein targeting to membrane","BP",1.44156368914592e-21,1.7901599994303e-19,18.7471081512747,84.3393665158371,0.356196332025867,15,210,"7"
"GO:0006402","mRNA catabolic process","BP",2.02885332828425e-19,2.30951137203024e-17,16.6364798949468,51.3166666666667,0.637761051627266,16,376,"7"
"GO:0006401","RNA catabolic process","BP",9.83124401276323e-19,1.03303687087958e-16,15.9858841774796,46.203007518797,0.703911799003498,16,415,"7"
"GO:0090150","establishment of protein localization to membrane","BP",2.36546732575886e-18,2.30802026213329e-16,15.6367603828239,49.9379384781436,0.580091169299269,15,342,"7"
"GO:0034655","nucleobase-containing compound catabolic process","BP",9.8905195829777e-17,9.00696650023169e-15,14.0454214525323,33.9424860853432,0.941376020354076,16,555,"7"
"GO:0006605","protein targeting","BP",1.16829547597209e-16,9.97432262611168e-15,14.0011165883461,37.854792266557,0.753100816283261,15,444,"7"
"GO:0044419","interspecies interaction between organisms","BP",2.47124861730655e-16,1.98572094778867e-14,13.702081782704,22.3827493261456,3.81638927170571,24,2250,"7"
"GO:0046700","heterocycle catabolic process","BP",3.55453340530364e-16,2.6230220947582e-14,13.5811980511591,31.1399317406143,1.02109615180748,16,602,"7"
"GO:0044270","cellular nitrogen compound catabolic process","BP",3.64842019036646e-16,2.6230220947582e-14,13.5811980511591,31.0851788756388,1.02279232481713,16,603,"7"
"GO:0016032","viral process","BP",5.5107254337752e-16,3.67168922703989e-14,13.4351340847402,25.441816461684,1.56726386091381,18,924,"7"
"GO:0019439","aromatic compound catabolic process","BP",5.64461740613746e-16,3.67168922703989e-14,13.4351340847402,30.182119205298,1.05162726598113,16,620,"7"
"GO:1901361","organic cyclic compound catabolic process","BP",1.27203033083859e-15,7.8981519632978e-14,13.1024745145363,28.5667189952904,1.10760097529948,16,653,"7"
"GO:0044403","symbiotic process","BP",1.62388665133382e-15,9.64447463357393e-14,13.0157214248323,23.8076980014804,1.66733806848299,18,983,"7"
"GO:0072594","establishment of protein localization to organelle","BP",6.86059886628383e-15,3.90482418805988e-13,12.4083985151476,28.2724458204334,0.992261210643486,15,585,"7"
"GO:0072657","protein localization to membrane","BP",3.749471004835e-14,2.04871095704184e-12,11.6885193098353,25.0027487630566,1.11438566733807,15,657,"7"
"GO:0016071","mRNA metabolic process","BP",1.55732015342917e-13,8.18192049840094e-12,11.087144744744,20.5491990846682,1.50959397858582,16,890,"7"
"GO:0006412","translation","BP",2.03392121372142e-13,1.02901347331239e-11,10.9875789387974,22.1027581156944,1.25177568111947,15,738,"7"
"GO:0043043","peptide biosynthetic process","BP",3.29534095798659e-13,1.60765562450346e-11,10.7938069757339,21.3345391632589,1.29418000636065,15,763,"7"
"GO:0043604","amide biosynthetic process","BP",3.90749212702367e-12,1.84056353293598e-10,9.73504918689577,17.7688651218063,1.53673274674017,15,906,"7"
"GO:0006518","peptide metabolic process","BP",4.09686628845632e-12,1.86543978334378e-10,9.7292187654833,17.7062771417292,1.54182126576911,15,909,"7"
"GO:0006886","intracellular protein transport","BP",1.1959604233415e-11,5.26880252848567e-10,9.27828807821524,15.1388174807198,2.00657267041238,16,1183,"7"
"GO:0033365","protein localization to organelle","BP",1.23427292028947e-11,5.26880252848567e-10,9.27828807821524,16.3029989658738,1.66564189547334,15,982,"7"
"GO:0044265","cellular macromolecule catabolic process","BP",1.54028557820988e-11,6.37584878737788e-10,9.19546199142156,14.8668913226622,2.04049613060532,16,1203,"7"
"GO:0051649","establishment of localization in cell","BP",8.81795433136416e-11,3.54274282842454e-09,8.45066037243392,11.0526315789474,4.74080356196332,21,2795,"7"
"GO:0043603","cellular amide metabolic process","BP",1.95515679299191e-10,7.63069765493415e-09,8.11743575380959,13.2128423888639,2.0252305735185,15,1194,"7"
