"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","p_adj_FDR","nlog10p.adj","nlog10p.FDR","cluster"
"TMSB10",0,-1.1576965963678,0.836,0.973,0,0,Inf,Inf,7
"ACTB",0,-1.17845766881108,0.845,0.971,0,0,Inf,Inf,7
"NDUFA4",0,-1.07951616833284,0.638,0.936,0,0,Inf,Inf,7
"LDHA",0,-1.43264034276279,0.32,0.754,0,0,Inf,Inf,7
"FTH1",0,-1.86331576842954,0.843,0.929,0,0,Inf,Inf,7
"CFL1",0,-0.901769262832715,0.616,0.931,0,0,Inf,Inf,7
"GSTP1",0,-1.00341908143648,0.369,0.813,0,0,Inf,Inf,7
"GAPDH",0,-1.49465967634417,0.896,0.993,0,0,Inf,Inf,7
"MYL6",0,-1.19461052974692,0.667,0.952,0,0,Inf,Inf,7
"DYNLL1",0,-0.951021154116759,0.569,0.914,0,0,Inf,Inf,7
"OAZ1",0,-1.09499457200603,0.522,0.888,0,0,Inf,Inf,7
"TMSB4X",0,-1.80139213925455,0.906,0.995,0,0,Inf,Inf,7
"TPI1",1.55934996905596e-304,-1.18083368617533,0.511,0.869,5.06804333442877e-300,7.91599425467818e-303,299.295159680327,302.101494529671,7
"UBA52",2.52282514116131e-298,-0.820635695495649,0.693,0.963,8.19943399128838e-294,1.17686383612012e-296,293.086216126024,295.929273782392,7
"CD63",1.63755698705132e-297,-1.29760091461072,0.603,0.904,5.3222239636155e-293,7.43795620960679e-296,292.273906853927,295.128546382845,7
"CALM2",4.57391037976209e-294,-0.941252982301222,0.671,0.942,1.48656661252648e-289,2.02424854242804e-292,288.82781562544,291.693736164768,7
"ACTG1",1.07708157084806e-292,-1.09825060021652,0.709,0.948,3.50062281341327e-288,4.64760697820937e-291,287.45585468126,290.332770604889,7
"UQCR11",2.88467748458795e-292,-0.958238726581774,0.486,0.86,9.37549029265929e-288,1.2143788630241e-290,287.028006011512,289.915645800533,7
"RPS28",1.08666933864966e-291,-0.836537838350393,0.756,0.98,3.53178401754527e-287,4.46569352026029e-290,286.452005863095,289.350111085794,7
