"GOID","Term","Class","Pvalue","p.adj","nlog10p.adj","OddsRatio","ExpCount","Count","Size","cluster"
"GO:0016032","viral process","BP",5.05606586510159e-54,3.02807784660934e-50,49.5188329640735,7.47171178199752,23.5089579137072,122,924,"7"
"GO:0044403","symbiotic process","BP",1.00612205469791e-52,3.01283249279288e-49,48.5210250135235,7.10699663836967,25.0100710272448,124,983,"7"
"GO:0006613","cotranslational protein targeting to membrane","BP",3.49940354676599e-52,6.98597594719384e-49,48.1557729139774,37.5664335664336,2.77324287077282,51,109,"7"
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane","BP",1.15633477204076e-51,1.73132223743803e-48,47.7616220927734,38.7547568710359,2.671472490194,50,105,"7"
"GO:0044419","interspecies interaction between organisms","BP",5.56578198376308e-50,6.66669366015141e-47,46.176089500591,4.81916191761972,57.2458390755857,182,2250,"7"
"GO:0045047","protein targeting to ER","BP",1.73533910026922e-49,1.73215764525206e-46,45.7614125849818,31.5586297760211,3.05311141736457,51,120,"7"
"GO:0072599","establishment of protein localization to endoplasmic reticulum","BP",1.36594801577114e-48,1.16866609520762e-45,44.9323095553249,29.8228757543826,3.15488179794339,51,124,"7"
"GO:0051649","establishment of localization in cell","BP",9.63590950263202e-47,7.21368275140789e-44,43.1418429613166,4.30748921143396,71.1120534294498,199,2795,"7"
"GO:0070972","protein localization to endoplasmic reticulum","BP",5.99296302945688e-46,3.98798395371303e-43,42.3992465978097,22.9274241241454,3.86727446199512,53,152,"7"
"GO:0006810","transport","BP",7.16771171325908e-45,4.29274254507086e-42,41.3672651573179,3.73971566182093,132.912117035938,278,5224,"7"
"GO:0051234","establishment of localization","BP",8.02978739678423e-44,4.3718542472128e-41,40.3593343253789,3.675,136.16876921446,280,5352,"7"
"GO:0006402","mRNA catabolic process","BP",2.41396922964219e-43,1.20477180969392e-40,39.9190952030272,10.7042515062317,9.56641577440899,73,376,"7"
"GO:0006401","RNA catabolic process","BP",3.10332655869092e-42,1.42967867384615e-39,38.844761561036,9.82897603485839,10.5586769850525,75,415,"7"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP",3.48851557439089e-42,1.49233712678765e-39,38.8261330563776,26.2284219703575,3.05311141736457,46,120,"7"
"GO:0051641","cellular localization","BP",1.54679574537608e-41,6.17583981270489e-39,38.2093039771413,3.77232502011263,88.8709848404537,216,3493,"7"
"GO:0019083","viral transcription","BP",1.40950192973154e-40,5.27594191072637e-38,37.2776999947765,17.6071799436285,4.52878193575745,52,178,"7"
"GO:0006612","protein targeting to membrane","BP",7.02798219099485e-39,2.47591678481578e-36,35.6062639559777,14.8131094257855,5.342944980388,54,210,"7"
"GO:0006413","translational initiation","BP",1.0290387295475e-38,3.42384052847777e-36,35.4654864715694,15.8343124165554,4.88497826778331,52,192,"7"
"GO:0019080","viral gene expression","BP",2.45125782708902e-38,7.72662269812429e-36,35.1120102944488,15.499575191164,4.96130605321743,52,195,"7"
"GO:0051179","localization","BP",1.91675019492131e-37,5.73970845869186e-35,34.2411101664865,3.32219720374928,174.663415668398,311,6865,"7"
"GO:0006605","protein targeting","BP",2.96568119804619e-37,8.45784033099935e-35,34.0727405178201,8.54554079696395,11.2965122442489,72,444,"7"
"GO:0034655","nucleobase-containing compound catabolic process","BP",1.03474604790669e-36,2.81686094586962e-34,33.5502345913998,7.41261342442214,14.1206403053111,79,555,"7"
"GO:0019439","aromatic compound catabolic process","BP",1.42589878282482e-36,3.71291643927733e-34,33.4302848246411,6.94907804811693,15.774408989717,83,620,"7"
"GO:1901361","organic cyclic compound catabolic process","BP",1.56331080366931e-36,3.90111183465645e-34,33.4088115994247,6.75044571224817,16.6140146294922,85,653,"7"
"GO:0009057","macromolecule catabolic process","BP",6.89399413339734e-36,1.65152523459667e-33,32.7821147860886,4.59738553646035,36.4592388423619,125,1433,"7"
"GO:0046700","heterocycle catabolic process","BP",5.37814943581001e-35,1.22960514487359e-32,31.9102343283438,6.84444444444444,15.3164422771123,80,602,"7"
"GO:0090150","establishment of protein localization to membrane","BP",5.54338602631272e-35,1.22960514487359e-32,31.9102343283438,9.59135338345865,8.70136753948903,62,342,"7"
"GO:0044270","cellular nitrogen compound catabolic process","BP",6.06701174506721e-35,1.2976904764717e-32,31.8868288825668,6.83097514340344,15.341884872257,80,603,"7"
"GO:0044265","cellular macromolecule catabolic process","BP",1.77013810337728e-34,3.65564037969879e-32,31.437036534162,4.8246522934683,30.6074419590798,112,1203,"7"
"GO:0044248","cellular catabolic process","BP",2.15819172554341e-34,4.30847008142649e-32,31.365676918505,3.7639146567718,58.9250503551362,160,2316,"7"
"GO:0009056","catabolic process","BP",8.46278487482948e-34,1.63495543920496e-31,30.786494079561,3.56430694161465,68.2624827732429,173,2683,"7"
"GO:0000956","nuclear-transcribed mRNA catabolic process","BP",3.67413027816972e-33,6.87636444873702e-31,30.1626411136777,12.8694643397559,5.342944980388,49,210,"7"
"GO:0072594","establishment of protein localization to organelle","BP",4.08962537654383e-30,7.42205041821849e-28,27.1294760998013,6.26152679668305,14.8839181596523,73,585,"7"
"GO:1901575","organic substance catabolic process","BP",1.04486254687231e-29,1.84049464506419e-27,26.7350654417992,3.5060821879611,56.533446411534,148,2222,"7"
"GO:0016071","mRNA metabolic process","BP",2.06540840336622e-29,3.53420883650294e-27,26.4517077915975,4.9971582836033,22.6439096787872,89,890,"7"
"GO:0072657","protein localization to membrane","BP",2.14680458941518e-28,3.57144796833541e-26,25.4471556726371,5.66501209112893,16.715785010071,75,657,"7"
"GO:0046907","intracellular transport","BP",2.87544429067308e-28,4.65433401536246e-26,25.3321424530597,3.68597170604084,44.8298526449698,127,1762,"7"
"GO:0070887","cellular response to chemical stimulus","BP",2.2203894527637e-27,3.49945064015837e-25,24.4560001278422,2.99190313554002,85.7669882327997,185,3371,"7"
"GO:0071345","cellular response to cytokine stimulus","BP",4.40597634647965e-26,6.76599803565811e-24,23.1696681326348,4.16971153846154,28.9027880843846,96,1136,"7"
"GO:0034097","response to cytokine","BP",9.05099020836246e-25,1.35515950894707e-22,21.8680095831819,3.92133612194455,31.2180642425527,98,1227,"7"
"GO:0043312","neutrophil degranulation","BP",1.68676849132307e-24,2.46391621817899e-22,21.608374063797,6.00836400133824,12.3905438354712,60,487,"7"
"GO:0002283","neutrophil activation involved in immune response","BP",2.33397544012814e-24,3.26086967100439e-22,21.4866665585368,5.96544850498339,12.4668716209053,60,490,"7"
"GO:0033365","protein localization to organelle","BP",2.34124888717964e-24,3.26086967100439e-22,21.4866665585368,4.26073014865845,24.9846284321001,86,982,"7"
"GO:0036230","granulocyte activation","BP",2.95527935570682e-24,4.0225381957564e-22,21.3954998233936,5.82923840777361,12.9502809286547,61,509,"7"
"GO:0015031","protein transport","BP",5.55219954849305e-24,7.38936068798331e-22,21.1313931342292,3.23669652910364,50.503551362239,128,1985,"7"
"GO:0002446","neutrophil mediated immunity","BP",7.51308562105829e-24,9.78171082272133e-22,21.0095851803977,5.81308713961775,12.7467401674971,60,501,"7"
"GO:0048519","negative regulation of biological process","BP",7.92663949837512e-24,1.01005625437805e-21,20.9956544378157,2.55295477983687,154.640093289516,260,6078,"7"
"GO:0042119","neutrophil activation","BP",8.34172578079927e-24,1.02856687591105e-21,20.9877674658604,5.79961215255333,12.7721827626418,60,502,"7"
"GO:0002274","myeloid leukocyte activation","BP",8.4153910368411e-24,1.02856687591105e-21,20.9877674658604,5.03734567521325,16.8429979857946,69,662,"7"
"GO:0043299","leukocyte degranulation","BP",9.00749540983633e-24,1.0789178001902e-21,20.9670116417709,5.59295895240494,13.6626735927065,62,537,"7"
"GO:0002444","myeloid leukocyte mediated immunity","BP",9.53362467339534e-24,1.11954663076401e-21,20.9509578127042,5.49473591858221,14.1206403053111,63,555,"7"
"GO:0015833","peptide transport","BP",1.10273018109321e-23,1.27004827972446e-21,20.8961797694225,3.19454919823924,51.5466977631718,129,2026,"7"
"GO:0045184","establishment of protein localization","BP",1.19667650674875e-23,1.35224445262609e-21,20.8689447915082,3.16560399058514,52.9205979009859,131,2080,"7"
"GO:0033036","macromolecule localization","BP",1.55357089770507e-23,1.72302520488068e-21,20.7637083695279,2.80913709945968,80.7293543941482,170,3173,"7"
"GO:0042886","amide transport","BP",1.64364065072327e-23,1.7897752467603e-21,20.7472015026627,3.16512539764741,52.4371885932365,130,2061,"7"
"GO:0002275","myeloid cell activation involved in immune response","BP",2.93763179120994e-23,3.14169228527791e-21,20.5028363544171,5.45148993446843,13.9679847344429,62,549,"7"
"GO:0008104","protein localization","BP",3.22810661497383e-23,3.39177728369794e-21,20.4695726728176,2.88193740853315,70.9339552634369,156,2788,"7"
