"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","p_adj_FDR","nlog10p.adj","nlog10p.FDR","cluster"
"AluSp",0,0.722364564729395,1,1,0,0,Inf,Inf,7
"AluJo",0,0.737029302055779,1,1,0,0,Inf,Inf,7
"AluJr",0,0.732905012835857,1,1,0,0,Inf,Inf,7
"AluSx",0,0.74279121023598,1,1,0,0,Inf,Inf,7
"AluSz6",0,0.713632942126202,1,1,0,0,Inf,Inf,7
"AluSc",0,0.748138282944499,1,1,0,0,Inf,Inf,7
"AluSz",0,0.746893550964509,1,1,0,0,Inf,Inf,7
"AluSc5",0,0.747279191983068,0.989,0.989,0,0,Inf,Inf,7
"AluY",0,0.793931534268109,1,1,0,0,Inf,Inf,7
"AluSg4",0,0.703945672330492,0.995,0.996,0,0,Inf,Inf,7
"AluSx3",0,0.727903539670127,1,1,0,0,Inf,Inf,7
"AluSq",0,0.749128263309314,1,1,0,0,Inf,Inf,7
"AluJb",0,0.745793723775583,1,1,0,0,Inf,Inf,7
"AluSq2",0,0.732961564846693,1,1,0,0,Inf,Inf,7
"AluSg",0,0.728065505250571,1,1,0,0,Inf,Inf,7
"AluJr4",0,0.699355536288913,0.996,0.998,0,0,Inf,Inf,7
"AluSg7",0,0.628827086492883,0.998,0.999,0,0,Inf,Inf,7
"AluSx1",0,0.730163508519495,1,1,0,0,Inf,Inf,7
"AluSc8",0,0.727238721922588,1,1,0,0,Inf,Inf,7
"AluSx4",0,0.74885709274183,1,1,0,0,Inf,Inf,7
"AluYm1",0,0.765647455815275,0.981,0.985,0,0,Inf,Inf,7
"AluYa5",3.03937941137454e-301,0.780561065497136,0.965,0.964,9.87828702490841e-297,1.49884824686642e-299,296.005318359069,298.824242335721,7
"L1PA16",2.11481704746119e-299,0.772881605442158,0.961,0.95,6.87336688595363e-295,1.01393728442167e-297,294.162830473741,296.993988906809,7
"L1M5",4.46600475296955e-287,0.652006870959647,0.992,0.992,1.45149620476263e-282,1.79263353572685e-285,281.838184095384,284.746508483265,7
"L1M4c",4.71439893594706e-259,0.932170301517818,0.998,0.999,1.53222679817216e-254,1.40294009714563e-257,253.814676946254,256.852960872118,7
"L1PB1",2.16874367812305e-258,0.727464885812499,0.97,0.973,7.04863382826773e-254,6.23875264740064e-257,253.151895050149,256.204902232834,7
"L1PA7",8.90849576009431e-257,0.643361350062386,0.99,0.994,2.89535020698825e-252,2.48001027127787e-255,251.538298898685,254.605546520484,7
"L1PA2",1.87145785574966e-250,0.706112876279976,0.952,0.951,6.08242517697198e-246,4.96944039849833e-249,245.215923224843,248.303692513787,7
"L1PA4",5.93519933677512e-246,0.678150934484341,0.971,0.972,1.92899913644528e-241,1.42279917434359e-244,240.714667966777,243.846856395509,7
"HAL1",2.81890411946831e-243,0.660887898408717,0.987,0.982,9.16172027868394e-239,6.31873832493805e-242,238.038022972032,241.199369629505,7
"AluYj4",8.68041820252534e-240,0.77754702078062,0.891,0.896,2.82122272000276e-235,1.84967923673565e-238,234.549562627333,237.732903578513,7
"L1PA5",2.86164017700295e-236,0.664419249966475,0.969,0.977,9.30061673927727e-232,5.67723097184722e-235,231.031488251706,234.245863436626,7
"L1M4",2.22484468054789e-233,0.664808274104661,0.97,0.978,7.23096769624869e-229,4.21987024024797e-232,228.140803578637,231.374700903259,7
"L1PA3",1.21790043587416e-231,0.665505553444909,0.98,0.974,3.9582982066346e-227,2.23627250246681e-230,226.402491490418,229.650475276319,7
"L1MEc",6.56146905278873e-231,0.673631970515972,0.97,0.975,2.13254305684687e-226,1.19211532474877e-229,225.671102191503,228.923681729093,7
"L1ME1",3.95966232062011e-228,0.645521543061413,0.988,0.99,1.28692985082474e-223,7.04574965504156e-227,222.89044512538,226.152072791947,7
"L1MB7",1.9429508269789e-219,0.63044538436202,0.99,0.991,6.31478448276413e-215,3.04866647942326e-218,214.199641466889,217.515890084349,7
"L1M2",4.36347664512233e-209,0.759147962123608,0.9,0.894,1.41817354443121e-204,6.07367797538802e-208,203.848270620509,207.216548237972,7
"MALAT1",1.56148253374759e-198,0.831181010774017,1,1,5.07497438293305e-194,1.83341418588323e-197,193.294566145608,196.736739412657,7
"L1PA6",3.24267889515688e-198,0.674236738896913,0.957,0.955,1.05390306771494e-193,3.78166471151404e-197,192.977199331336,196.422316979033,7
"AluYf1",2.07842418252046e-190,0.722565397972559,0.857,0.856,6.75508643560975e-186,2.2144198389076e-189,185.170369089533,188.654740036377,7
