"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","nlog10p.adj","p_adj_FDR","nlog10p.FDR","cluster"
"IGFBP2",1.09153299123244e-248,-4.22109018561452,0.154,0.86,3.54759137480455e-244,243.450066409665,1.507407060892e-245,244.821769454767,7
"NOVA1",2.31417699031787e-191,-2.08622356077737,0.479,0.973,7.5213066362321e-187,186.123706705205,1.59793921181449e-188,187.796439745971,7
"CKB",5.46783464897516e-156,-2.26775964452838,0.236,0.791,1.77710093926342e-151,150.750287903585,2.51702655007823e-153,152.599112203406,7
"TSFM",4.14444346329417e-151,-2.54449871619864,0.032,0.506,1.34698557000524e-146,145.870637056765,1.43086910570231e-148,147.844400093194,7
"MARCH9",1.20488212464219e-147,-2.97584385479152,0.053,0.529,3.91598739329957e-143,142.407158714987,2.77323702355143e-145,144.557013010472,7
"CDK4",1.67944139499136e-133,-3.49419391900981,0.129,0.596,5.45835247786142e-129,128.262938422816,3.31329795211867e-131,130.479739507933,7
"TSPAN31",2.72240173222425e-126,-2.3137738815951,0.076,0.517,8.84807786990203e-122,121.053151063897,4.69954599025211e-124,123.32794409599,7
"DLL3",4.51060866819923e-126,-2.36237105743892,0.04,0.464,1.46599292325143e-121,120.833868126148,6.92127841198127e-124,123.159813680689,7
"GIHCG",3.2046912191215e-120,-3.30810592791258,0.129,0.563,1.04155669312668e-115,114.982317085926,4.42567857360679e-118,117.354020131027,7
"EGFR",1.74623016712068e-116,-1.67777778499849,0.062,0.502,5.67542266615894e-112,111.246001789686,2.19231260072151e-114,113.659097519946,7
"AGAP2-AS1",2.65038754824461e-110,-1.48340614413522,0.022,0.383,8.61402457054981e-106,105.064793893795,3.05015433677151e-108,107.515678184944,7
"METTL1",1.74918434461817e-104,-1.60462483676551,0.028,0.386,5.68502403844352e-100,99.2452676946101,1.85817198455207e-102,101.730914092019,7
"MT-CO1",1.34295316951742e-103,-1.19774668407857,0.979,0.991,4.36473209624856e-99,98.3600424077869,1.32472737650254e-101,100.877873488567,7
"ACTB",4.00889495973076e-99,-1.27287788996248,0.799,0.941,1.30293095086209e-94,93.8850785992177,3.69085595959212e-97,96.4328729033752,7
"CDKN2A",2.47201821731022e-97,-1.29899377469033,0.018,0.337,8.03430640807996e-93,92.0950516093979,2.00815126947378e-95,94.6972035758779,7
"ZBTB16",3.84078868552394e-94,-1.25078343763016,0.066,0.446,1.24829473068213e-89,88.903682862733,2.94673843039364e-92,91.5306584129381,7
"AC104051.2",2.4832911332357e-86,-1.40530713497433,0.002,0.265,8.07094451212936e-82,81.0930756384622,1.80496055526237e-84,83.7435322845168,7
"MT-CO2",9.9218645932021e-84,-0.997536702280072,0.978,0.991,3.22470521143661e-79,78.491509980532,6.85104750160605e-82,81.1642430212977,7
"CYP27B1",1.47388508050432e-83,-0.939301284814821,0.001,0.255,4.79027390014709e-79,78.3196396536164,9.69254902941175e-82,81.0135619934521,7
