"GOID","Term","Class","Pvalue","p.adj","nlog10p.adj","OddsRatio","ExpCount","Count","Size","cluster"
"GO:0007399","nervous system development","BP",2.67153604496226e-11,8.96033189480343e-08,7.04767590357312,4.60477276767198,12.2021626205873,38,2449,"7"
"GO:0010001","glial cell differentiation","BP",1.17868476269854e-10,1.48717840636066e-07,6.82763692909044,13.7233316265574,1.14597688964274,13,230,"7"
"GO:0048468","cell development","BP",1.33021324361419e-10,1.48717840636066e-07,6.82763692909044,4.53146084067173,11.0013781405703,35,2208,"7"
"GO:0032989","cellular component morphogenesis","BP",2.94327121476142e-10,2.01103138920563e-07,6.69658115066014,6.6445038422987,3.98600657267041,21,800,"7"
"GO:0007155","cell adhesion","BP",3.2277651006712e-10,2.01103138920563e-07,6.69658115066014,5.0832809422021,7.34421711014523,28,1474,"7"
"GO:0022610","biological adhesion","BP",3.59755168015318e-10,2.01103138920563e-07,6.69658115066014,5.05674779453169,7.3790946676561,28,1481,"7"
"GO:0051239","regulation of multicellular organismal process","BP",5.55038329932542e-10,2.65942651227678e-07,6.57521200600279,3.86879264953972,16.9504929502809,43,3402,"7"
"GO:0048858","cell projection morphogenesis","BP",9.57233863379835e-10,4.01320297221996e-07,6.3965088747825,6.88716716716717,3.41301812784904,19,685,"7"
"GO:0022008","neurogenesis","BP",1.22159394155561e-09,4.55247342219725e-07,6.34175258098099,4.64515314472761,8.34071875331284,29,1674,"7"
"GO:0032990","cell part morphogenesis","BP",1.54106709462263e-09,5.16873903536429e-07,6.28661539438722,6.67898931000972,3.5126682921658,19,705,"7"
"GO:0042063","gliogenesis","BP",4.02968670169798e-09,1.21208511597461e-06,5.91646688173726,10.0870916267742,1.52963002226227,13,307,"7"
"GO:0048812","neuron projection morphogenesis","BP",4.33661937736892e-09,1.21208511597461e-06,5.91646688173726,6.6136971859541,3.32333297996396,18,667,"7"
"GO:0120039","plasma membrane bounded cell projection morphogenesis","BP",5.99450662274951e-09,1.48607498795365e-06,5.82795927534476,6.46904024767802,3.39308809498569,18,681,"7"
