"GOID","Term","Class","Pvalue","p.adj","nlog10p.adj","OddsRatio","ExpCount","Count","Size","cluster","group"
"GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","BP",3.34663907178459e-05,0.000557501094153384,3.25375427593126,25.4816326530612,0.184882858051521,4,109,"7","GBM"
"GO:0043620","regulation of DNA-templated transcription in response to stress","BP",4.12927596626049e-05,0.00064097624658089,3.19315806435012,24.0965250965251,0.195059896109403,4,115,"7","GBM"
"GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress","BP",0.00018201784847481,0.00232370449548216,2.63381910181585,125.493333333333,0.0203540761157638,2,12,"7","GBM"
"GO:0042127","regulation of cell population proliferation","BP",1.12609967297006e-06,7.75838255753072e-05,4.11022880961243,3.54431486152386,8.79910950916994,25,1766,"7","NSC"
"GO:0008283","cell population proliferation","BP",4.92018973393594e-06,0.000217135741679226,3.66326868351722,3.16912128532759,10.1991943178204,26,2047,"7","NSC"
"GO:0001666","response to hypoxia","BP",1.20268835439206e-05,0.000421432500925031,3.37527197459382,6.28428162095784,1.78872044948585,10,359,"7","NSC"
"GO:0050673","epithelial cell proliferation","BP",1.55833235689523e-05,0.000497775878573962,3.30296615243622,5.49610205527994,2.25707622177462,11,453,"7","NSC"
"GO:0008285","negative regulation of cell population proliferation","BP",3.3378521352754e-05,0.000895612484937096,3.0478798609377,4.08031088082902,3.91625145764868,14,786,"7","NSC"
"GO:0071456","cellular response to hypoxia","BP",8.14058455312827e-05,0.0018025212763444,2.74411960031481,7.43392234231143,1.03636170889431,7,208,"7","NSC"
"GO:0010464","regulation of mesenchymal cell proliferation","BP",0.000586428129102524,0.0088999092534383,2.05061442154968,20.5956043956044,0.164422771122655,3,33,"7","NSC"
"GO:0072201","negative regulation of mesenchymal cell proliferation","BP",0.000674456554446839,0.00992161089304693,2.00341780918012,67.9927536231884,0.0398600657267041,2,8,"7","NSC"
"GO:0006119","oxidative phosphorylation","BP",6.9524475280676e-22,6.12326591847013e-20,19.213016879807,11.6275167785235,3.79094667656101,33,149,"7","TE-enriched"
"GO:0001666","response to hypoxia","BP",2.92611620425517e-21,2.33660132630456e-19,18.6314153811277,6.45766345123258,9.13389165694901,48,359,"7","TE-enriched"
"GO:0071456","cellular response to hypoxia","BP",5.94008331473515e-20,4.04263170135782e-18,17.3933358226915,8.58610936517913,5.29205979009859,36,208,"7","TE-enriched"
