gene_id,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,p_adj_FDR,nlog10p.adj,nlog10p.FDR,TE_class,TE_family,deg,nlog10p.adj_max,deglabs
(GAATG)n,1.93E-12,0.292824053,0.161,0.118,6.29E-08,2.08E-12,7.201544035,11.68106248,Satellite,Satellite,NO,7.201544035,NA
A2M,4.52E-52,-0.45520393,0.048,0.181,1.47E-47,5.51E-52,46.83270018,51.25861936,NA,NA,NO,46.83270018,NA
AC008969.1,0.326992865,0.256912993,0.132,0.137,1,0.333563643,0,0.476821291,NA,NA,NO,0,NA
AC010642.2,1.12E-74,-0.251223657,0.121,0.339,3.65E-70,1.58E-74,69.43807569,73.80212999,NA,NA,NO,69.43807569,NA
ACAP3,2.94E-05,0.3457493,0.183,0.167,0.954301798,3.10E-05,0.020314258,4.508156375,NA,NA,NO,0.020314258,NA
ACAT2,1.18E-81,-0.377796261,0.076,0.281,3.83E-77,1.81E-81,76.41666641,80.74228865,NA,NA,NO,76.41666641,NA
ACP1,6.38E-120,-0.373533045,0.155,0.457,2.07E-115,1.96E-119,114.6833436,118.7071624,NA,NA,NO,114.6833436,NA
ACTB,0,-1.178457669,0.845,0.971,0,0,Inf,Inf,NA,NA,DOWN,320,NA
ACTG1,1.08E-292,-1.0982506,0.709,0.948,3.50E-288,4.65E-291,287.4558547,290.3327706,NA,NA,DOWN,287.4558547,NA
ACTN1,9.26E-79,-0.380867066,0.086,0.291,3.01E-74,1.35E-78,73.52139607,77.8685019,NA,NA,NO,73.52139607,NA
ACTR3,2.47E-135,-0.434533262,0.152,0.475,8.04E-131,9.73E-135,130.0945416,134.011862,NA,NA,NO,130.0945416,NA
ADH5,8.81E-92,-0.311184599,0.132,0.387,2.86E-87,1.63E-91,86.54294962,90.78722146,NA,NA,NO,86.54294962,NA
ADI1,8.75E-82,-0.259832273,0.084,0.296,2.84E-77,1.35E-81,76.54633606,80.87079761,NA,NA,NO,76.54633606,NA
ADM,3.77E-53,-0.513344822,0.117,0.283,1.22E-48,4.63E-53,47.91201631,52.33454857,NA,NA,DOWN,47.91201631,NA
ADRM1,5.28E-91,-0.311222376,0.136,0.392,1.72E-86,9.63E-91,85.76523979,90.0164457,NA,NA,NO,85.76523979,NA
AGT,4.36E-34,-0.290903551,0.096,0.216,1.42E-29,4.92E-34,28.84849217,33.30832329,NA,NA,NO,28.84849217,NA
AHCYL1,1.32E-57,-0.264627352,0.185,0.396,4.30E-53,1.66E-57,52.366781,56.77930747,NA,NA,NO,52.366781,NA
AIF1,2.31E-50,-1.071436599,0.044,0.167,7.50E-46,2.77E-50,45.12520932,49.55782414,NA,NA,DOWN,45.12520932,NA
AIMP1,1.40E-82,-0.267078149,0.195,0.463,4.54E-78,2.18E-82,77.34259724,81.66199294,NA,NA,NO,77.34259724,NA
AK2,2.64E-101,-0.322654451,0.107,0.362,8.57E-97,5.77E-101,96.0671792,100.2385613,NA,NA,NO,96.0671792,NA
AK4,4.77E-81,-0.321625818,0.066,0.267,1.55E-76,7.24E-81,75.80990838,80.14052477,NA,NA,NO,75.80990838,NA
AK6,1.01E-101,-0.308851255,0.071,0.309,3.27E-97,2.23E-101,96.48494203,100.652449,NA,NA,NO,96.48494203,NA
AKAP12,1.13E-38,-0.650908012,0.203,0.363,3.67E-34,1.29E-38,33.43509161,37.88978647,NA,NA,DOWN,33.43509161,NA
AKR1A1,2.76E-97,-0.319742284,0.141,0.405,8.99E-93,5.65E-97,92.04647949,96.24819213,NA,NA,NO,92.04647949,NA
AKR1B1,1.61E-112,-0.431851197,0.148,0.434,5.22E-108,4.37E-112,107.2821534,111.3590986,NA,NA,NO,107.2821534,NA
AL391807.1,0.000286849,0.30014715,0.163,0.149,1,0.000300426,0,3.522263171,NA,NA,NO,0,NA
ALDH9A1,2.27E-84,-0.282376821,0.059,0.261,7.37E-80,3.65E-84,79.13275587,83.43740128,NA,NA,NO,79.13275587,NA
ALDOC,1.84E-53,-0.282269715,0.081,0.237,5.98E-49,2.26E-53,48.22312971,52.64504331,NA,NA,NO,48.22312971,NA
ALKBH7,7.26E-89,-0.297236452,0.141,0.389,2.36E-84,1.27E-88,83.62731682,87.89560898,NA,NA,NO,83.62731682,NA
ALOX5AP,1.65E-25,-0.693171121,0.088,0.175,5.37E-21,1.82E-25,20.27014059,24.74034258,NA,NA,DOWN,20.27014059,NA
AluJb,0,0.745793724,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,AluJb
AluJo,0,0.737029302,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluJr,0,0.732905013,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluJr4,0,0.699355536,0.996,0.998,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSc,0,0.748138283,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,AluSc
AluSc5,0,0.747279192,0.989,0.989,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSc8,0,0.727238722,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSg,0,0.728065505,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSg4,0,0.703945672,0.995,0.996,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSg7,0,0.628827086,0.998,0.999,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSp,0,0.722364565,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSq,0,0.749128263,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSq10,3.47E-98,0.671141258,0.735,0.746,1.13E-93,7.26E-98,92.94799714,97.13878028,SINE,Alu,UP,92.94799714,NA
AluSq2,0,0.732961565,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSq4,2.00E-116,0.573670759,0.855,0.888,6.50E-112,5.83E-116,111.1872528,115.2344304,SINE,Alu,UP,111.1872528,NA
AluSx,0,0.74279121,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSx1,0,0.730163509,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSx3,0,0.72790354,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSx4,0,0.748857093,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSz,0,0.746893551,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluSz6,0,0.713632942,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,NA
AluY,0,0.793931534,1,1,0,0,Inf,Inf,SINE,Alu,UP,320,AluY
AluYa5,3.04E-301,0.780561065,0.965,0.964,9.88E-297,1.50E-299,296.0053184,298.8242423,SINE,Alu,UP,296.0053184,NA
AluYb8,5.06E-185,0.711445716,0.897,0.908,1.65E-180,4.83E-184,179.7838016,183.3163361,SINE,Alu,UP,179.7838016,NA
AluYb9,1.37E-05,0.428871704,0.36,0.391,0.446412574,1.45E-05,0.350263581,4.837573475,SINE,Alu,NO,0.350263581,NA
AluYc,1.30E-174,0.631825896,0.916,0.938,4.21E-170,1.02E-173,169.375452,172.9927307,SINE,Alu,UP,169.375452,NA
AluYc3,2.66E-18,0.453373379,0.55,0.614,8.63E-14,2.89E-18,13.0638528,17.53955923,SINE,Alu,NO,13.0638528,NA
AluYd8,0.000558664,0.368053262,0.266,0.275,1,0.000584043,0,3.233555384,SINE,Alu,NO,0,NA
AluYe5,2.38E-105,0.631547391,0.763,0.787,7.72E-101,5.65E-105,100.1121777,104.2479703,SINE,Alu,UP,100.1121777,NA
AluYe6,0.000284169,0.385108027,0.275,0.284,1,0.000297799,0,3.526076776,SINE,Alu,NO,0,NA
AluYf1,2.08E-190,0.722565398,0.857,0.856,6.76E-186,2.21E-189,185.1703691,188.65474,SINE,Alu,UP,185.1703691,NA
