integrated_snn_res.0.4,bhaduriCNV,n,perc
0,1,4611,0.517973489
0,0,4291,0.482026511
1,0,4098,0.613932584
1,1,2577,0.386067416
2,0,5494,0.897419144
2,1,628,0.102580856
3,0,4976,0.994404476
3,1,28,0.005595524
4,0,2649,0.623734401
4,1,1598,0.376265599
5,0,3595,0.868357488
5,1,545,0.131642512
6,0,2990,0.768835176
6,1,899,0.231164824
7,0,2246,0.723349436
7,1,859,0.276650564
8,0,1378,0.631820266
8,1,803,0.368179734
9,1,817,0.64892772
9,0,442,0.35107228
10,0,1112,0.994633274
10,1,6,0.005366726
11,1,661,0.621825024
11,0,402,0.378174976
12,0,914,0.958071279
12,1,40,0.041928721
13,0,587,0.979966611
13,1,12,0.020033389
14,0,399,0.968446602
14,1,13,0.031553398
