integrated_snn_res.0.4,bhaduriCNV,n,perc
0,1,4311,0.523688047
0,0,3921,0.476311953
1,0,3536,0.509583513
1,1,3403,0.490416487
2,0,5097,0.839288655
2,1,976,0.160711345
3,0,4151,0.812965139
3,1,955,0.187034861
4,0,4263,0.84215725
4,1,799,0.15784275
5,0,4970,0.994596758
5,1,27,0.005403242
6,0,3106,0.698605488
6,1,1340,0.301394512
7,0,2043,0.986003861
7,1,29,0.013996139
8,0,1144,0.626506024
8,1,682,0.373493976
9,0,1276,0.99376947
9,1,8,0.00623053
10,1,783,0.67733564
10,0,373,0.32266436
11,0,903,0.855113636
11,1,153,0.144886364
12,1,619,0.613478692
12,0,390,0.386521308
13,0,400,0.970873786
13,1,12,0.029126214
