"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ANKRD65",0,0.789540200864762,0.214,0.023,0
"VWA1",0,1.70322821018333,0.484,0.079,0
"PLCH2",0,0.597101663979834,0.155,0.005,0
"RBP7",0,1.39054839169628,0.326,0.01,0
"PADI2",0,1.15405384317282,0.36,0.063,0
"CAMK2N1",0,1.85581515751243,0.763,0.31,0
"NIPAL3",0,1.35139364344802,0.373,0.053,0
"LDLRAP1",0,0.826105797019227,0.217,0.018,0
"MARCKSL1",0,1.71620606468691,0.914,0.607,0
"TMEM125",0,1.96365080231498,0.496,0.005,0
"ELOVL1",0,1.70639376500522,0.516,0.122,0
"DNAJC6",0,1.51668957667508,0.427,0.036,0
"ST6GALNAC3",0,0.581063902924731,0.149,0.007,0
"AK5",0,1.33919539506673,0.331,0.007,0
"TTLL7",0,2.59229064980042,0.835,0.263,0
"SORT1",0,1.81779114811632,0.599,0.163,0
"S100A1",0,2.92676448574695,0.566,0.065,0
"HAPLN2",0,2.57671961039734,0.579,0.022,0
"KCNJ10",0,1.3844441323059,0.43,0.073,0
"ADAMTS4",0,1.59363182289705,0.43,0.017,0
"ATP1B1",0,2.52040033978162,0.818,0.21,0
"CSRP1",0,1.94820663824851,0.652,0.204,0
"NFASC",0,1.67757487698558,0.547,0.14,0
"CNTN2",0,2.7284674922369,0.762,0.045,0
"TMCC2",0,0.852499815695016,0.235,0.012,0
"CDK18",0,2.1003535602553,0.612,0.048,0
"SLC45A3",0,0.555380494225019,0.14,0.005,0
"TMEM63A",0,1.62476206040644,0.459,0.04,0
"GJC2",0,0.845610245681094,0.203,0.004,0
"RHOU",0,1.76451956855388,0.572,0.116,0
"C1orf198",0,1.37610086692814,0.433,0.076,0
"KCNK1",0,1.08875373241111,0.287,0.019,0
"SILC1",0,1.58033341385718,0.504,0.071,0
"CALM2",0,1.40522859283997,0.983,0.929,0
"RTN4",0,1.83566377250141,0.966,0.734,0
"TMSB10",0,-2.28920025854904,0.62,0.975,0
"MAL",0,2.47405641489479,0.655,0.025,0
"BIN1",0,2.18733423789028,0.69,0.163,0
"FMNL2",0,1.70156914387761,0.62,0.208,0
"ERMN",0,3.92278323422134,0.895,0.046,0
"LRP2",0,0.948091104997777,0.245,0.005,0
"DYNC1I2",0,1.73832498300202,0.873,0.6,0
"HOXD1",0,0.586386029908309,0.135,0.008,0
"MFSD6",0,0.938170870057538,0.253,0.034,0
"PLCL1",0,1.47386243713027,0.397,0.02,0
"LANCL1",0,2.02434915529102,0.58,0.087,0
"PTMA",0,1.16857097860154,1,0.97,0
"EFHD1",0,2.34097644983532,0.577,0.024,0
"BOK",0,1.51074980647085,0.387,0.016,0
"HDAC11",0,0.95354777237343,0.26,0.031,0
"MOBP",0,3.22267189976998,0.771,0.039,0
"AC006059.1",0,0.892845416935067,0.225,0.018,0
"HHATL",0,2.18599759336088,0.507,0.008,0
"SEMA3B",0,1.74079543129085,0.462,0.049,0
"GPR62",0,0.818988323928662,0.18,0.002,0
"FRMD4B",0,1.57829852257605,0.533,0.122,0
"CLDND1",0,3.44984367121086,0.948,0.328,0
"MYLK",0,2.30268519054222,0.61,0.088,0
"TF",0,4.35703887693742,0.962,0.071,0
"SERPINI1",0,1.63410885516767,0.396,0.031,0
"CLDN11",0,3.88880463544366,0.931,0.044,0
"SLC7A14",0,0.933156993329737,0.229,0.01,0
"PEX5L",0,1.8754978511614,0.48,0.006,0
"SOX2-OT",0,2.68769873444046,0.946,0.444,0
"MAP6D1",0,1.57468496166314,0.451,0.042,0
"APOD",0,2.65753462009176,0.942,0.279,0
"PPP2R2C",0,0.44497533726761,0.104,0.004,0
"QDPR",0,3.87294555836571,0.919,0.321,0
"LIMCH1",0,1.70726173736652,0.566,0.147,0
"ATP8A1",0,1.43723733956912,0.406,0.045,0
"SPP1",0,0.857052379528978,0.949,0.411,0
"AC096564.1",0,1.08578031189822,0.29,0.022,0
"UGT8",0,2.33186307897186,0.723,0.107,0
"HHIP",0,1.81002098856464,0.445,0.012,0
"TRIM2",0,1.92667094138204,0.715,0.231,0
"TMEM144",0,3.5162068957603,0.862,0.044,0
"SPOCK3",0,2.40503264418148,0.646,0.012,0
"TPPP",0,1.58619703692472,0.409,0.011,0
"SELENOP",0,4.15867228652065,0.922,0.203,0
"EDIL3",0,3.01275401113749,0.796,0.021,0
"AC008505.1",0,0.490100011789433,0.11,0.002,0
"MAN2A1",0,1.47902446931737,0.453,0.097,0
"MEGF10",0,0.833780582293315,0.217,0.023,0
"SLC12A2",0,2.17223664693476,0.655,0.117,0
"SEPTIN8",0,2.3476419596814,0.75,0.184,0
"FGF1",0,1.22584867656513,0.357,0.054,0
"AL033523.1",0,0.575361765620654,0.126,0.004,0
"MOG",0,2.24248295180973,0.64,0.012,0
"RPS18",0,-1.47276463022966,0.863,0.989,0
"DAAM2",0,1.29422337352598,0.33,0.013,0
"ENPP4",0,1.07487464844462,0.292,0.033,0
"RCAN2",0,0.924088568022779,0.242,0.022,0
"PAQR8",0,1.7116606570559,0.479,0.057,0
"KLHL32",0,1.00285907844255,0.247,0.012,0
"HS3ST5",0,0.415169697894636,0.101,0.004,0
"NKAIN2",0,1.06692341288965,0.262,0.003,0
"MAP7",0,2.4827792030728,0.693,0.042,0
"ARFGEF3",0,1.30658166256289,0.42,0.093,0
"SYNJ2",0,1.80756449548487,0.501,0.038,0
"QKI",0,1.96644177149777,0.906,0.572,0
"PRR18",0,1.0560495816913,0.25,0.008,0
"ADAP1",0,0.77569494438295,0.199,0.01,0
"RAPGEF5",0,2.56953810294965,0.668,0.052,0
"PDE1C",0,1.29415349047253,0.38,0.058,0
"AC018647.1",0,1.61857816938057,0.434,0.039,0
"ANLN",0,2.73298817043629,0.753,0.07,0
"GNAI1",0,1.40022901620314,0.475,0.114,0
"GRM3",0,1.10797660309373,0.265,0.007,0
"PDK4",0,1.22741455082083,0.357,0.051,0
"TSC22D4",0,2.04345499735185,0.899,0.48,0
"GPR37",0,2.41289406547666,0.751,0.128,0
"MTUS1",0,2.31162930493511,0.688,0.107,0
"LGI3",0,1.34406632782749,0.36,0.005,0
"DOCK5",0,1.64670501773817,0.425,0.019,0
"DPYSL2",0,1.7389636289462,0.917,0.584,0
"STMN4",0,2.4906270518798,0.747,0.173,0
"ST18",0,1.79785337072575,0.494,0.014,0
"CYP7B1",0,0.579296849031058,0.132,0.007,0
"CA2",0,2.58641968470443,0.697,0.124,0
"NECAB1",0,1.99488227448835,0.53,0.038,0
"LINC01608",0,0.683814966828462,0.138,0.002,0
"ENPP2",0,2.79320265494602,0.742,0.013,0
"NDRG1",0,1.56989118729273,0.702,0.216,0
"GPIHBP1",0,0.882432158816969,0.194,0.003,0
"PTPRD",0,1.72183405574765,0.541,0.107,0
