"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PLPPR1",0,-0.258109264061304,0.304,0.598,0,"0","PLPPR1"
"SLC2A5",0,-0.274137276891755,0.526,0.784,0,"0","SLC2A5"
"ANLN",0,-0.281210624257316,0.385,0.653,0,"0","ANLN"
"IGFBP3",0,-0.380572192473132,0.405,0.693,0,"0","IGFBP3"
"SPRY1",0,-0.39653966655179,0.503,0.767,0,"0","SPRY1"
"ADAP2",0,-0.432538035397257,0.539,0.811,0,"0","ADAP2"
"FRMD4B",0,-0.468102193194766,0.545,0.807,0,"0","FRMD4B"
"OLIG1",0,-0.507957304184383,0.38,0.651,0,"0","OLIG1"
"IER3",0,-0.549732653629971,0.447,0.713,0,"0","IER3"
"DUSP6",0,-0.627214243717466,0.539,0.848,0,"0","DUSP6"
"TXNIP",0,-0.658889430907848,0.512,0.775,0,"0","TXNIP"
"DAB2",0,-0.678454528682909,0.43,0.719,0,"0","DAB2"
"CCND1",0,-0.795749124321526,0.497,0.777,0,"0","CCND1"
"CENPF",0,-0.853325787129924,0.416,0.67,0,"0","CENPF"
"MFAP4",0,0.336149819195983,0.881,0.625,0,"1","MFAP4"
"CSF1R",0,-0.299904726714603,0.393,0.7,0,"1","CSF1R"
"CEBPD",0,-0.519867848580172,0.502,0.772,0,"1","CEBPD"
"TREM2",0,-0.624878998279143,0.47,0.741,0,"1","TREM2"
"APOE",0,-2.00501546665481,0.548,0.82,0,"1","APOE"
"NKAIN4",0,-0.363456696069368,0.316,0.572,0,"2","NKAIN4"
"ATP1B2",0,-0.470681887411075,0.513,0.768,0,"2","ATP1B2"
"NTM",0,-0.492311184749728,0.425,0.693,0,"2","NTM"
"BEX1",0,-0.716520488061428,0.444,0.71,0,"2","BEX1"
"PAFAH1B3",0,-0.859665532879508,0.483,0.764,0,"2","PAFAH1B3"
"NFIA",0,-0.931125404431576,0.583,0.849,0,"2","NFIA"
"STMN1",0,-1.53791409372676,0.579,0.835,0,"2","STMN1"
"S100B",0,-1.59501955569547,0.623,0.875,0,"2","S100B"
"STMN2",0,0.332415732708745,0.82,0.552,0,"3","STMN2"
"TREM2.1",0,-0.285867589138346,0.927,0.666,0,"3","TREM2"
"DAB2.1",0,-0.298456083061662,0.912,0.625,0,"3","DAB2"
"CP",0,-0.338729843480672,0.947,0.683,0,"3","CP"
"CCL3L1",0,-0.441945947559869,0.915,0.659,0,"3","CCL3L1"
"MT1M",3.04399385025218e-29,-0.320089791591514,0.904,0.631,6.08798770050437e-26,"3","MT1M"
"HIST1H4C",0,2.11130153174002,0.923,0.599,0,"4","HIST1H4C"
"PCLAF",0,2.06068560230723,0.94,0.681,0,"4","PCLAF"
"PCNA",0,1.68707081227717,0.918,0.653,0,"4","PCNA"
"HMGB2",0,1.6691009788682,0.972,0.639,0,"4","HMGB2"
"CLSPN",0,1.42379597297831,0.839,0.588,0,"4","CLSPN"
"TYMS",0,1.40661237821634,0.924,0.617,0,"4","TYMS"
"CENPU",0,1.29987418908415,0.838,0.542,0,"4","CENPU"
"UBE2T",0,1.29528704449883,0.829,0.536,0,"4","UBE2T"
"MCM7",0,1.22406380332878,0.851,0.524,0,"4","MCM7"
"ORC6",0,1.11275767723778,0.843,0.569,0,"4","ORC6"
"EZH2",0,1.10898686337653,0.952,0.649,0,"4","EZH2"
"RRM2",0,1.0803605760085,0.858,0.525,0,"4","RRM2"
"UBE2C",0,0.971372804665719,0.902,0.637,0,"4","UBE2C"
"TMPO",0,0.87366621773479,0.908,0.585,0,"4","TMPO"
"FBXO5",0,0.80460796266336,0.92,0.625,0,"4","FBXO5"
"BEX1.1",0,0.761662637669883,0.926,0.645,0,"4","BEX1"
"DNAJC9",0,0.732669030269358,0.868,0.601,0,"4","DNAJC9"
