"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IGFBP3",0,-0.327813688044471,0.401,0.672,0,"0","IGFBP3"
"LST1",0,-0.485690056505675,0.547,0.801,0,"0","LST1"
"SLC11A1",0,-0.489998079627024,0.522,0.833,0,"0","SLC11A1"
"DUSP6",0,-0.536560442738002,0.579,0.845,0,"0","DUSP6"
"TXNIP",0,-0.581429835124078,0.506,0.777,0,"0","TXNIP"
"AKAP12",0,-1.17118640989426,0.58,0.83,0,"0","AKAP12"
"C1QC",0,-1.34242448822036,0.625,0.896,0,"0","C1QC"
"TMEM176B",0,-0.302056950099435,0.567,0.817,0,"1","TMEM176B"
"DAB2",0,2.22524034835281,0.95,0.7,0,"4","DAB2"
"MEF2C",0,1.98040035779933,0.942,0.606,0,"4","MEF2C"
"DUSP1",0,1.61319447985042,0.865,0.61,0,"4","DUSP1"
"NINJ1",0,1.28617604182497,0.837,0.578,0,"4","NINJ1"
"MARCH1",0,1.27939198613678,0.869,0.612,0,"4","MARCH1"
"COTL1",0,1.27491671951789,0.839,0.523,0,"4","COTL1"
"APOE",0,1.26353003287292,0.83,0.47,0,"4","APOE"
"CTSZ",0,1.23258430768889,0.78,0.512,0,"4","CTSZ"
"NR2F2",0,-0.25352877876198,0.357,0.725,0,"4","NR2F2"
"MLC1",0,-0.255903597505525,0.41,0.709,0,"4","MLC1"
"MXRA7",0,-0.25609125889047,0.352,0.65,0,"4","MXRA7"
"LAMA4",0,-0.257638260491716,0.466,0.742,0,"4","LAMA4"
"NPTX1",0,-0.25960224639808,0.469,0.841,0,"4","NPTX1"
"PXDN",0,-0.265512101640711,0.39,0.801,0,"4","PXDN"
"C6orf141",0,-0.269803261014897,0.492,0.815,0,"4","C6orf141"
"MYL9",0,-0.271210536928824,0.555,0.818,0,"4","MYL9"
"MEX3A",0,-0.27427429546819,0.269,0.608,0,"4","MEX3A"
"CSF1",0,-0.277233091594637,0.476,0.785,0,"4","CSF1"
"KIAA0040",0,-0.278851105159204,0.577,0.841,0,"4","KIAA0040"
"DIRAS3",0,-0.282363174372793,0.516,0.771,0,"4","DIRAS3"
"APLN",0,-0.282532513483764,0.407,0.688,0,"4","APLN"
"CAPS",0,-0.283965886894915,0.362,0.8,0,"4","CAPS"
"FABP3",0,-0.285751867742703,0.491,0.844,0,"4","FABP3"
"SLC39A14",0,-0.294916610666744,0.49,0.747,0,"4","SLC39A14"
"JAG1",0,-0.295726048742039,0.525,0.787,0,"4","JAG1"
"MFGE8",0,-0.298091015320978,0.323,0.642,0,"4","MFGE8"
"BAALC-AS1",0,-0.302458212566253,0.493,0.833,0,"4","BAALC-AS1"
"RDH10",0,-0.30472385886933,0.408,0.78,0,"4","RDH10"
"METTL7B",0,-0.315544469487826,0.452,0.759,0,"4","METTL7B"
"XAF1",0,-0.320944154327903,0.532,0.881,0,"4","XAF1"
"SPOCK2",0,-0.323967449539944,0.401,0.721,0,"4","SPOCK2"
"ABCC3",0,-0.325186953654321,0.53,0.833,0,"4","ABCC3"
"PALM2-AKAP2",0,-0.333856814952553,0.548,0.841,0,"4","PALM2-AKAP2"
"ZBTB16",0,-0.337287389134,0.486,0.809,0,"4","ZBTB16"
"BIRC3",0,-0.338279716623358,0.473,0.772,0,"4","BIRC3"
"SAA2",0,-0.343071484211512,0.533,0.83,0,"4","SAA2"
"SLAIN1",0,-0.343786159447218,0.329,0.618,0,"4","SLAIN1"
"CALCRL",0,-0.343845996750027,0.487,0.767,0,"4","CALCRL"
"CADPS",0,-0.344649909729556,0.557,0.816,0,"4","CADPS"
"FBXO32",0,-0.351910418635372,0.402,0.68,0,"4","FBXO32"
"EDNRB",0,-0.352458757050795,0.502,0.831,0,"4","EDNRB"
"APOL2",0,-0.35397350294602,0.509,0.845,0,"4","APOL2"
"TRDC",0,-0.355593813062069,0.502,0.837,0,"4","TRDC"
"RGMA",0,-0.356509679661738,0.38,0.697,0,"4","RGMA"
"DCLK1",0,-0.357303875705316,0.435,0.804,0,"4","DCLK1"
"TMEM132B",0,-0.362298503516749,0.5,0.786,0,"4","TMEM132B"
"ASIC4",0,-0.364676483321861,0.188,0.72,0,"4","ASIC4"
"PDGFA",0,-0.366545617052617,0.424,0.75,0,"4","PDGFA"
"RPGR",0,-0.367904412685955,0.48,0.828,0,"4","RPGR"
"IGFBP3.1",0,-0.370343039673574,0.361,0.653,0,"4","IGFBP3"
"MAP3K7CL",0,-0.370944870746138,0.475,0.804,0,"4","MAP3K7CL"
"PRSS23",0,-0.373701373186636,0.534,0.805,0,"4","PRSS23"
"LRATD1",0,-0.373816037530085,0.373,0.729,0,"4","LRATD1"
"CDC42EP4",0,-0.379710204469014,0.484,0.746,0,"4","CDC42EP4"
