NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LYN	na	999	3.4080586433410645	-0.020065181	No	
row_1	APOE	na	1001	3.4067962169647217	-0.009119452	No	
row_2	HNMT	na	1074	3.2453114986419678	-9.00509E-4	No	
row_3	PRR5	na	1247	2.9019222259521484	0.00310431	No	
row_4	SIRPA	na	1348	2.7077043056488037	0.008720906	No	
row_5	PLTP	na	1365	2.6760013103485107	0.016845834	No	
row_6	RASSF4	na	1412	2.6049017906188965	0.023809362	No	
row_7	CTSL	na	1465	2.5354714393615723	0.030362722	No	
row_8	LITAF	na	1545	2.427410125732422	0.03572882	No	
row_9	SOAT1	na	1601	2.348719835281372	0.04158723	No	
row_10	EFHD2	na	1663	2.2998604774475098	0.047101747	No	
row_11	LIPA	na	1665	2.297755241394043	0.05447411	No	
row_12	ANOS1	na	1671	2.291701555252075	0.06170266	No	
row_13	ZFP36L1	na	1719	2.230741262435913	0.06742956	No	
row_14	ETV5	na	1934	1.9874188899993896	0.06718258	No	
row_15	SNX5	na	2340	1.6422539949417114	0.059887733	No	
row_16	GPR137B	na	2366	1.6234749555587769	0.064341694	No	
row_17	PLEC	na	2416	1.5726593732833862	0.06788607	No	
row_18	ITGAV	na	2526	1.4840527772903442	0.06928033	No	
row_19	SLC15A2	na	2588	1.4369137287139893	0.07201441	No	
row_20	PREX1	na	2854	1.361607313156128	0.06816611	No	
row_21	RAB31	na	2868	1.3547037839889526	0.07212701	No	
row_22	ITPR2	na	2896	1.3306366205215454	0.07557528	No	
row_23	ZFP36L2	na	2912	1.3191496133804321	0.079359464	No	
row_24	SPATA6	na	2924	1.3085548877716064	0.08323382	No	
row_25	HTRA1	na	3217	1.1371341943740845	0.07782318	No	
row_26	SLC1A3	na	3293	1.1095997095108032	0.07906756	No	
row_27	B2M	na	3357	1.0647517442703247	0.08054037	No	
row_28	PLAGL1	na	3427	1.0308538675308228	0.08171748	No	
row_29	ID2	na	3475	1.0012423992156982	0.0834829	No	
row_30	GLUL	na	3521	0.9784443378448486	0.085237004	No	
row_31	GPX3	na	3610	0.9400854706764221	0.085531205	No	
row_32	P4HA1	na	3773	0.89104163646698	0.08336767	No	
row_33	UBL3	na	3929	0.8294718861579895	0.0812233	No	
row_34	MAGT1	na	4088	0.7665891647338867	0.07878309	No	
row_35	HLA-B	na	4290	0.7001129388809204	0.07479237	No	
row_36	ABHD3	na	4296	0.6975024342536926	0.07688436	No	
row_37	CST3	na	4396	0.6679188013076782	0.07595978	No	
row_38	RAB34	na	4422	0.6602146625518799	0.077310085	No	
row_39	HLA-C	na	4439	0.6566362380981445	0.07892855	No	
row_40	LGALS1	na	4476	0.6419643759727478	0.0798782	No	
row_41	PTTG1IP	na	4499	0.6346213817596436	0.08123928	No	
row_42	CRYL1	na	4592	0.6008465886116028	0.080316134	No	
row_43	SERPINB6	na	4829	0.524213433265686	0.07467096	No	
row_44	GNG7	na	4918	0.4993816614151001	0.073545195	No	
row_45	GNG5	na	4972	0.4815826416015625	0.07344978	No	
row_46	CD63	na	5060	0.4597371220588684	0.07222736	No	
row_47	METTL7A	na	5116	0.44307616353034973	0.07194572	No	
row_48	ALCAM	na	5122	0.44169068336486816	0.07321348	No	
row_49	GNPTG	na	5309	0.38657230138778687	0.06867868	No	
row_50	EEPD1	na	5459	0.3496141731739044	0.065174654	No	
row_51	SLC1A4	na	5638	0.3091687560081482	0.06063908	No	
row_52	SELENBP1	na	5693	0.29528769850730896	0.05991234	No	
row_53	PHACTR2	na	5744	0.28265121579170227	0.059269194	No	
row_54	TOR1AIP1	na	5771	0.27686595916748047	0.05935326	No	
row_55	SNX3	na	5867	0.2575061619281769	0.057230625	No	
row_56	ARNTL	na	5955	0.23570889234542847	0.055286378	No	
row_57	ANXA5	na	6125	0.2000984251499176	0.050679065	No	
row_58	LEPROT	na	6132	0.1987844854593277	0.051133092	No	
row_59	RGCC	na	6490	0.13352589309215546	0.04046878	No	
row_60	HLA-A	na	6502	0.13019339740276337	0.040546417	No	
row_61	TEX264	na	6507	0.12893112003803253	0.04083753	No	
row_62	PDPN	na	6897	0.05049501359462738	0.028911222	No	
row_63	ADGRG1	na	6918	0.04476190730929375	0.028433904	No	
row_64	DCXR	na	7106	0.011726515367627144	0.022660263	No	
row_65	GLUD1	na	9192	-0.10033257305622101	-0.041812282	No	
row_66	HSPB1	na	10017	-0.13229884207248688	-0.066993564	No	
row_67	SMIM30	na	10315	-0.14717444777488708	-0.07574928	No	
row_68	VIM	na	10605	-0.1627982258796692	-0.08420602	No	
row_69	TBC1D10A	na	10691	-0.16750310361385345	-0.08630788	No	
row_70	SPRY1	na	11000	-0.18564170598983765	-0.0952815	No	
row_71	S1PR1	na	11380	-0.2036917805671692	-0.106403425	No	
row_72	PLCD1	na	11766	-0.2189384251832962	-0.1176627	No	
row_73	PLIN3	na	12656	-0.2562725245952606	-0.14446455	No	
row_74	PAQR8	na	13045	-0.2731442451477051	-0.15564239	No	
row_75	QKI	na	13157	-0.27735185623168945	-0.15819833	No	
row_76	FBLN2	na	13802	-0.3002888560295105	-0.17724445	No	
row_77	IGFBP4	na	14431	-0.3215004801750183	-0.19572501	No	
row_78	SLC39A12	na	14768	-0.33439329266548157	-0.2050895	No	
row_79	GATM	na	15152	-0.3509770333766937	-0.21586119	No	
row_80	PRODH	na	15210	-0.35370972752571106	-0.2164929	No	
row_81	DBI	na	15326	-0.3583410084247589	-0.2189122	No	
row_82	NOTCH2	na	15443	-0.36251816153526306	-0.2213491	No	
row_83	COMT	na	15607	-0.36944252252578735	-0.22522432	No	
row_84	FABP5	na	15791	-0.3778032660484314	-0.22969414	No	
row_85	SCD	na	15979	-0.3859061002731323	-0.23426215	No	
row_86	PDGFRB	na	16139	-0.3929271996021271	-0.23793739	No	
row_87	LINC00943	na	16176	-0.3945145308971405	-0.23778504	No	
row_88	TTYH2	na	16303	-0.39989691972732544	-0.24041228	No	
row_89	SPRY2	na	16571	-0.4122277498245239	-0.24738166	No	
row_90	IFITM3	na	16646	-0.4153155982494354	-0.2483432	No	
