NAME	TITLE	SCORE	
CLCA4	na	5.0	
AC097381.3	na	5.0	
AC010491.2	na	5.0	
AL158077.2	na	5.0	
AL354733.2	na	5.0	
AC007406.4	na	5.0	
AL358473.2	na	5.0	
AL357140.4	na	5.0	
KANK4	na	5.0	
UBE2U	na	5.0	
AC092802.3	na	5.0	
SLC26A9	na	5.0	
LINC02814	na	5.0	
OR2L13	na	5.0	
OR2M4	na	5.0	
GACAT3	na	5.0	
CAPN13	na	5.0	
AC079352.1	na	5.0	
AC012494.1	na	5.0	
AC012494.2	na	5.0	
AC142116.2	na	5.0	
LINC01877	na	5.0	
LINC01792	na	5.0	
CRYGB	na	5.0	
HHATL	na	5.0	
CCDC13-AS1	na	5.0	
GPR62	na	5.0	
AC063944.1	na	5.0	
AC092943.2	na	5.0	
DLG1-AS1	na	5.0	
AC116317.1	na	5.0	
ALB	na	5.0	
AC112236.3	na	5.0	
AC098679.5	na	5.0	
TPPP	na	5.0	
AC026790.1	na	5.0	
AC113348.1	na	5.0	
AL139095.5	na	5.0	
MOG	na	5.0	
AL035670.1	na	5.0	
AL109947.1	na	5.0	
AL050350.1	na	5.0	
AL354936.1	na	5.0	
HGC6.3	na	5.0	
TRPV6	na	5.0	
AC245427.2	na	5.0	
KEL	na	5.0	
AC073342.2	na	5.0	
TMEM139	na	5.0	
AC005518.1	na	5.0	
AC100810.7	na	5.0	
SGCZ	na	5.0	
AC041005.1	na	5.0	
LINC00588	na	5.0	
ESRP1	na	5.0	
AP005717.1	na	5.0	
FAM201A	na	5.0	
AL162391.1	na	5.0	
AL358216.1	na	5.0	
FXYD4	na	5.0	
LINC00845	na	5.0	
OPALIN	na	5.0	
AC009988.1	na	5.0	
FAM53B-AS1	na	5.0	
AL589787.2	na	5.0	
NKX6-2	na	5.0	
KCNQ1DN	na	5.0	
FBXO3-DT	na	5.0	
TEX54	na	5.0	
CARNS1	na	5.0	
C11orf88	na	5.0	
AP004606.1	na	5.0	
AC005343.4	na	5.0	
AC090015.1	na	5.0	
AC090680.1	na	5.0	
AC148477.1	na	5.0	
LINC00348	na	5.0	
NKX2-8	na	5.0	
AL358333.1	na	5.0	
NPAP1	na	5.0	
CHRM5	na	5.0	
AC020661.1	na	5.0	
AGBL1	na	5.0	
AC055807.1	na	5.0	
AC015712.4	na	5.0	
AC020663.2	na	5.0	
SLC5A11	na	5.0	
AC016597.2	na	5.0	
AC009093.5	na	5.0	
AC025810.1	na	5.0	
CES5A	na	5.0	
AC108125.1	na	5.0	
AC009063.1	na	5.0	
AC022916.4	na	5.0	
AC005544.1	na	5.0	
USH1G	na	5.0	
LINC01973	na	5.0	
LINC01978	na	5.0	
AC016383.2	na	5.0	
CNDP1	na	5.0	
AC009704.1	na	5.0	
AC020907.1	na	5.0	
MAG	na	5.0	
AC004784.1	na	5.0	
PSG5	na	5.0	
IGFL2	na	5.0	
AC006262.1	na	5.0	
KLK6	na	5.0	
AC011483.1	na	5.0	
LINC00028	na	5.0	
TP53TG5	na	5.0	
FP236383.5	na	5.0	
AL031587.4	na	5.0	
AL034405.1	na	5.0	
U82671.1	na	5.0	
LAD1	na	5.0	
AF067845.1	na	5.0	
AL137798.1	na	5.0	
TMEM125	na	5.0	
AL360013.3	na	5.0	
GJC2	na	5.0	
AC093426.2	na	5.0	
AC013733.2	na	5.0	
