NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOX3	na	4046	0.18180760741233826	-0.122536816	No	
row_1	CREB5	na	4396	0.12020193040370941	-0.13168167	No	
row_2	CDCA7	na	4432	0.11436418443918228	-0.13120395	No	
row_3	NOTCH1	na	5364	-0.012794005684554577	-0.15979606	No	
row_4	MCM2	na	8900	-0.14571832120418549	-0.26703575	No	
row_5	SFRP2	na	9375	-0.16323167085647583	-0.27945626	No	
row_6	ORC6	na	9450	-0.16677623987197876	-0.27946907	No	
row_7	HELLS	na	9583	-0.17192743718624115	-0.28120375	No	
row_8	MCM4	na	9776	-0.17966274917125702	-0.28468686	No	
row_9	UHRF1	na	10839	-0.2181822508573532	-0.31452656	No	
row_10	MCM7	na	12016	-0.25750282406806946	-0.34735262	No	
row_11	SOX9	na	12071	-0.2593832314014435	-0.3454849	No	
row_12	C21orf58	na	12718	-0.2794952392578125	-0.36163494	No	
row_13	GINS2	na	12796	-0.28187131881713867	-0.3601713	No	
row_14	ZFHX4	na	13115	-0.2889644503593445	-0.36605752	No	
row_15	ASPM	na	13133	-0.28944164514541626	-0.36263674	No	
row_16	ID4	na	13859	-0.30818164348602295	-0.38083667	No	
row_17	RRM2	na	13973	-0.31066447496414185	-0.38009283	No	
row_18	CLSPN	na	14419	-0.32049357891082764	-0.3894733	No	
row_19	ATAD2	na	14746	-0.3277842104434967	-0.39507747	No	
row_20	UCP2	na	14965	-0.333463191986084	-0.39726716	No	
row_21	KIF2C	na	15098	-0.3368932008743286	-0.3967528	No	
row_22	SPAG5	na	15468	-0.34694069623947144	-0.40342444	No	
row_23	RNASEH2A	na	15507	-0.34803134202957153	-0.39985377	No	
row_24	CENPF	na	15725	-0.354936808347702	-0.4017198	No	
row_25	APOLD1	na	15739	-0.35526159405708313	-0.39727813	No	
row_26	MCM5	na	16225	-0.3679874539375305	-0.40724704	Yes	
row_27	HJURP	na	16368	-0.3722197711467743	-0.40656006	Yes	
row_28	TACC3	na	16384	-0.3725683093070984	-0.40194422	Yes	
row_29	PRR11	na	16458	-0.3743590712547302	-0.39909607	Yes	
row_30	CDC20	na	16488	-0.3751797378063202	-0.39487723	Yes	
row_31	FEN1	na	16498	-0.37547752261161804	-0.3900363	Yes	
row_32	IGF2BP1	na	16645	-0.379702091217041	-0.38937092	Yes	
row_33	PLPP3	na	16725	-0.38186386227607727	-0.38660586	Yes	
row_34	KIF23	na	16727	-0.3819310963153839	-0.3814298	Yes	
row_35	CKAP2L	na	16769	-0.3834638297557831	-0.3774688	Yes	
row_36	SGO1	na	16798	-0.3844144344329834	-0.37309313	Yes	
row_37	AURKB	na	16819	-0.3851826786994934	-0.3684598	Yes	
row_38	BUB1	na	16846	-0.38607820868492126	-0.36399966	Yes	
row_39	SGO2	na	16865	-0.3864123225212097	-0.35928777	Yes	
row_40	MCM6	na	16872	-0.38676586747169495	-0.35420027	Yes	
row_41	CCNB1	na	16917	-0.3883805572986603	-0.35026494	Yes	
row_42	DLGAP5	na	16994	-0.3910244107246399	-0.3472823	Yes	
row_43	GTSE1	na	17005	-0.39132457971572876	-0.34225625	Yes	
row_44	NUF2	na	17007	-0.391369104385376	-0.3369515	Yes	
row_45	TOP2A	na	17028	-0.3919031322002411	-0.33222654	Yes	
row_46	UBE2C	na	17143	-0.3958267569541931	-0.33035257	Yes	
row_47	KIF15	na	17191	-0.39716067910194397	-0.3263902	Yes	
row_48	CCNB2	na	17202	-0.3975038528442383	-0.32127994	Yes	
row_49	CDCA3	na	17240	-0.3988149166107178	-0.31698602	Yes	
row_50	MKI67	na	17308	-0.40081995725631714	-0.31359175	Yes	
row_51	CDCA5	na	17327	-0.4014594852924347	-0.30867472	Yes	
row_52	MELK	na	17429	-0.40461036562919617	-0.30627933	Yes	
row_53	PIMREG	na	17444	-0.40505120158195496	-0.30118975	Yes	
row_54	MCM3	na	17459	-0.40550968050956726	-0.2960939	Yes	
row_55	PRC1	na	17465	-0.40580371022224426	-0.29071596	Yes	
row_56	CENPU	na	17562	-0.4089576005935669	-0.2881068	Yes	
row_57	TPX2	na	17659	-0.41199272871017456	-0.28545627	Yes	
row_58	DHFR	na	17697	-0.41303297877311707	-0.28096852	Yes	
row_59	NUSAP1	na	17782	-0.4157978892326355	-0.27789533	Yes	
row_60	PBK	na	17894	-0.41953495144844055	-0.27560544	Yes	
row_61	CCNA2	na	17968	-0.42217522859573364	-0.2721054	Yes	
row_62	MIS18BP1	na	18167	-0.42948612570762634	-0.272368	Yes	
row_63	EFNB1	na	18182	-0.42992523312568665	-0.2669393	Yes	
row_64	KNSTRN	na	18266	-0.4325622320175171	-0.26360667	Yes	
row_65	DEPDC1B	na	18297	-0.4335666596889496	-0.25862268	Yes	
row_66	KIF11	na	18325	-0.4343515634536743	-0.25353533	Yes	
row_67	MAD2L1	na	18459	-0.43825986981391907	-0.2516699	Yes	
row_68	BIRC5	na	18487	-0.4389263391494751	-0.24652018	Yes	
row_69	UBE2T	na	18696	-0.4448907673358917	-0.24688177	Yes	
row_70	NDC80	na	18953	-0.45320603251457214	-0.24861312	Yes	
row_71	CKAP2	na	18958	-0.4535200893878937	-0.24255376	Yes	
row_72	SPC25	na	19087	-0.4573289752006531	-0.24027388	Yes	
row_73	TMPO	na	19251	-0.4626818597316742	-0.23900248	Yes	
row_74	ZWINT	na	19279	-0.46394845843315125	-0.23351161	Yes	
row_75	OIP5	na	19305	-0.46487510204315186	-0.22794633	Yes	
row_76	CENPM	na	19332	-0.46556439995765686	-0.22240253	Yes	
row_77	SMC4	na	19453	-0.470194935798645	-0.21970005	Yes	
row_78	PCLAF	na	19580	-0.4739799499511719	-0.21713138	Yes	
row_79	CDK1	na	19600	-0.4748922288417816	-0.21124412	Yes	
row_80	CENPK	na	19636	-0.4761618673801422	-0.20583394	Yes	
row_81	CDKN3	na	20131	-0.4947264492511749	-0.21435308	Yes	
row_82	PTTG1	na	20234	-0.4983924329280853	-0.21071002	Yes	
