NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLPP3	na	2414	1.901214361190796	-0.044462524	Yes	
row_1	ARL4A	na	2680	1.7907112836837769	-0.024363229	Yes	
row_2	MT3	na	2687	1.7895207405090332	0.0037086268	Yes	
row_3	CD63	na	2932	1.6888058185577393	0.022846758	Yes	
row_4	B2M	na	3179	1.612770676612854	0.040722564	Yes	
row_5	SERPINE2	na	3247	1.5950353145599365	0.06384131	Yes	
row_6	ITGB8	na	3397	1.5491199493408203	0.08370496	Yes	
row_7	DUSP6	na	3448	1.536376714706421	0.10642201	Yes	
row_8	TRIB2	na	4089	1.36992347240448	0.10830645	Yes	
row_9	RAMP1	na	4127	1.3626484870910645	0.12868139	Yes	
row_10	CST3	na	4340	1.309538722038269	0.14281815	Yes	
row_11	KANK1	na	4450	1.2837435007095337	0.15972562	Yes	
row_12	CD82	na	4547	1.2628740072250366	0.17670467	Yes	
row_13	LIMA1	na	4762	1.216287612915039	0.18930727	Yes	
row_14	SPRY4	na	4802	1.2082267999649048	0.20718214	Yes	
row_15	ANXA5	na	4872	1.1945501565933228	0.22391541	Yes	
row_16	LMF1	na	5011	1.1686975955963135	0.23811151	Yes	
row_17	RAB31	na	5088	1.1551576852798462	0.25400677	Yes	
row_18	PTPRZ1	na	5344	1.1067906618118286	0.26361534	Yes	
row_19	PTN	na	5703	1.0444966554641724	0.26906225	Yes	
row_20	ETV5	na	6323	0.9396634697914124	0.26480073	Yes	
row_21	SPRY1	na	6325	0.9389587044715881	0.27959627	Yes	
row_22	RHOC	na	6949	0.8355661630630493	0.2735676	Yes	
row_23	EPN2	na	7189	0.7993449568748474	0.27881518	Yes	
row_24	GPM6B	na	7380	0.7700250148773193	0.2851117	Yes	
row_25	PON2	na	7500	0.7510126233100891	0.29329866	Yes	
row_26	DBI	na	7541	0.74448561668396	0.3038201	Yes	
row_27	NOVA1	na	7698	0.7232190370559692	0.31042656	Yes	
row_28	ETV1	na	7705	0.7225208282470703	0.32165024	Yes	
row_29	EDNRB	na	8055	0.6722212433815002	0.3214965	Yes	
row_30	FIBIN	na	8198	0.6519891619682312	0.32741022	Yes	
row_31	SPARC	na	8260	0.644138514995575	0.33569917	Yes	
row_32	PDE4B	na	8554	0.6036556363105774	0.33619064	Yes	
row_33	CD9	na	8860	0.5599725246429443	0.33562207	No	
row_34	ITM2C	na	10344	0.3620767891407013	0.29558188	No	
row_35	PDGFRA	na	10544	0.3351779580116272	0.29473433	No	
row_36	SLC35F1	na	10914	0.28491249680519104	0.28784782	No	
row_37	LRRC4C	na	10971	0.2776106297969818	0.29050347	No	
row_38	GATM	na	11252	0.24396204948425293	0.28571638	No	
row_39	SPATA6	na	11556	0.20675873756408691	0.2796322	No	
row_40	SCN1A	na	12165	0.13173341751098633	0.26295266	No	
row_41	GNG7	na	12258	0.1201137974858284	0.26201066	No	
row_42	S100B	na	12656	0.06831458956003189	0.25084007	No	
row_43	BCHE	na	13016	0.03250071778893471	0.24027643	No	
