NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AVPR1A	na	445	5.0	0.09069625	Yes	
row_1	EDN1	na	1002	4.407663345336914	0.16560428	Yes	
row_2	TH	na	1158	4.2098283767700195	0.24873495	Yes	
row_3	HYAL2	na	1523	3.73001766204834	0.31540796	Yes	
row_4	EDNRA	na	2282	2.8613076210021973	0.35180336	Yes	
row_5	IDE	na	2505	2.6600136756896973	0.40050817	Yes	
row_6	INHBB	na	2915	2.3549420833587646	0.43708178	Yes	
row_7	GNA11	na	5322	1.212214469909668	0.38827214	No	
row_8	PRDM2	na	6357	0.8997843265533447	0.37520602	No	
row_9	INPP5D	na	6511	0.856720507144928	0.38838178	No	
row_10	SERP1	na	7221	0.6678557395935059	0.3804851	No	
row_11	GNA13	na	7325	0.6456077098846436	0.39079294	No	
row_12	CGAS	na	8284	0.43115344643592834	0.37028265	No	
row_13	SEC63	na	9940	0.10323738306760788	0.32145253	No	
row_14	WRN	na	12669	-0.10497166961431503	0.23960255	No	
row_15	HELT	na	12708	-0.10685814172029495	0.24066319	No	
row_16	ZMPSTE24	na	14287	-0.1673448085784912	0.19554386	No	
row_17	NR5A1	na	17151	-0.27981650829315186	0.11318586	No	
row_18	TP63	na	18682	-0.33316540718078613	0.073007785	No	
row_19	RAD54L	na	19940	-0.38190019130706787	0.042257693	No	
row_20	DDC	na	20990	-0.42723143100738525	0.01886205	No	
row_21	ATM	na	21065	-0.4305506646633148	0.025572687	No	
row_22	MSH2	na	21854	-0.4638214409351349	0.010981752	No	
row_23	AVPR1B	na	21864	-0.4643920660018921	0.020401498	No	
row_24	COQ7	na	24053	-0.5675003528594971	-0.035154514	No	
row_25	CRYAB	na	24727	-0.6033250689506531	-0.043289643	No	
row_26	LEP	na	25953	-0.6770095825195312	-0.0668917	No	
row_27	GHRHR	na	26128	-0.6868143081665039	-0.057910714	No	
row_28	RAD54B	na	26300	-0.6974942088127136	-0.0486143	No	
row_29	TP53	na	26992	-0.7479748129844666	-0.054283515	No	
row_30	MSH6	na	27050	-0.7522989511489868	-0.0403307	No	
row_31	GNA12	na	27446	-0.7814491987228394	-0.036182016	No	
row_32	COMP	na	27932	-0.8202058672904968	-0.033996694	No	
row_33	ADRA1A	na	28440	-0.8609806895256042	-0.031637702	No	
row_34	CISD2	na	29121	-0.9235842823982239	-0.03330112	No	
row_35	ERCC1	na	29236	-0.9343872666358948	-0.017302113	No	
row_36	SLC1A2	na	29256	-0.9375119209289551	0.0016888203	No	
row_37	GBA	na	29386	-0.9488873481750488	0.017528497	No	
row_38	RNF165	na	30760	-1.1026837825775146	-0.0017444805	No	
row_39	TFCP2L1	na	31216	-1.173571228981018	0.00874371	No	
row_40	LRRK2	na	32246	-1.474151372909546	0.007825037	No	
