NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPINE1	na	408	2.185938596725464	0.10309487	Yes	
row_1	IGFBP3	na	476	2.0771830081939697	0.21093796	Yes	
row_2	IGFBP5	na	1103	1.5828969478607178	0.27541074	Yes	
row_3	CXCL14	na	1258	1.5118153095245361	0.35065988	Yes	
row_4	AHR	na	2740	1.1042871475219727	0.3634751	Yes	
row_5	TGFB1I1	na	2949	1.0658762454986572	0.41346583	Yes	
row_6	MAP1LC3B	na	4548	0.8129162788391113	0.4072607	Yes	
row_7	HTRA1	na	4615	0.8006744980812073	0.4475927	Yes	
row_8	IGFBP6	na	7418	0.519203782081604	0.38876414	No	
row_9	SPARC	na	7675	0.4962978661060333	0.4071393	No	
row_10	CDKN1A	na	8687	0.4156273305416107	0.39799237	No	
row_11	HSPA2	na	12047	0.16515284776687622	0.3032751	No	
row_12	ALDH1A3	na	13388	0.07874511927366257	0.26617023	No	
row_13	MAP2K3	na	13452	0.07399680465459824	0.2681451	No	
row_14	OPTN	na	13904	0.04994921013712883	0.25689742	No	
row_15	CYP1B1	na	14423	0.019058359786868095	0.24195164	No	
row_16	FILIP1L	na	14934	-0.006693087983876467	0.22659801	No	
row_17	IGFBP7	na	15276	-0.02744188718497753	0.21754734	No	
row_18	AOPEP	na	15406	-0.03577999770641327	0.21546738	No	
row_19	IFI16	na	17520	-0.10339871048927307	0.15585887	No	
row_20	CLTB	na	18766	-0.1419214904308319	0.1250227	No	
row_21	TP53	na	19488	-0.16929912567138672	0.11177407	No	
row_22	IRF7	na	19542	-0.1715926229953766	0.1192209	No	
row_23	CREG1	na	20265	-0.19708986580371857	0.10741192	No	
row_24	IGFBP4	na	20917	-0.21744461357593536	0.09886671	No	
row_25	CCN2	na	21585	-0.23795902729034424	0.09091415	No	
row_26	IRF5	na	24540	-0.32249653339385986	0.016996	No	
row_27	RB1	na	27105	-0.4266981780529022	-0.039396867	No	
row_28	HTATIP2	na	28986	-0.5263985395431519	-0.06944755	No	
row_29	HPS5	na	29148	-0.5379655957221985	-0.045941763	No	
row_30	CDKN2A	na	31138	-0.7328277230262756	-0.06842714	No	
row_31	NDN	na	32037	-0.9362977147102356	-0.046544313	No	
row_32	TSPYL5	na	32368	-1.1485943794250488	0.004065575	No	
