NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CABIN1	na	1592	1.3891441822052002	0.055341464	Yes	
row_1	POT1	na	1685	1.3583760261535645	0.15456353	Yes	
row_2	KAT5	na	3049	1.04796302318573	0.19132398	Yes	
row_3	TINF2	na	3241	1.012110710144043	0.26148233	Yes	
row_4	CDKN1B	na	7035	0.5573496222496033	0.18655145	No	
row_5	ACD	na	7595	0.5036243200302124	0.20717458	No	
row_6	RAD50	na	7938	0.475668728351593	0.2323799	No	
row_7	CDKN1A	na	8687	0.4156273305416107	0.24057157	No	
row_8	UBN1	na	9725	0.32879340648651123	0.2333397	No	
row_9	TERF2IP	na	13215	0.08810004591941833	0.13251558	No	
row_10	HIRA	na	13689	0.061337653547525406	0.122557946	No	
row_11	NBN	na	13844	0.053127896040678024	0.12180706	No	
row_12	TERF1	na	17411	-0.09986349195241928	0.019495526	No	
row_13	HMGA2	na	18510	-0.13211922347545624	-0.004391023	No	
row_14	TP53	na	19488	-0.16929912567138672	-0.021758063	No	
row_15	CCNA1	na	20732	-0.21038269996643066	-0.044229902	No	
row_16	CDK2	na	21458	-0.2353815734386444	-0.048871856	No	
row_17	ASF1A	na	23458	-0.2953362464904785	-0.08824199	No	
row_18	HMGA1	na	23899	-0.3066112697124481	-0.078755915	No	
row_19	ATM	na	26766	-0.41063567996025085	-0.13616267	No	
row_20	CCNE1	na	26767	-0.41068536043167114	-0.10530776	No	
row_21	RB1	na	27105	-0.4266981780529022	-0.08362765	No	
row_22	EP400	na	27503	-0.4474759101867676	-0.062234193	No	
row_23	CCNA2	na	27597	-0.45199698209762573	-0.031139446	No	
row_24	LMNB1	na	28561	-0.5010050535202026	-0.023154195	No	
row_25	CCNE2	na	29822	-0.5888979434967041	-0.017711584	No	
row_26	TERF2	na	29982	-0.602104663848877	0.022628343	No	
row_27	MRE11	na	31119	-0.730494499206543	0.042527698	No	
