NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP1	na	433	2.58183217048645	0.039931975	No	
row_1	IFNG	na	476	2.492913246154785	0.09008773	No	
row_2	CDKN2A	na	3036	0.6464729905128479	0.02450723	No	
row_3	SOD1	na	3655	0.5247480869293213	0.01627752	No	
row_4	TP53	na	3887	0.483318567276001	0.019128352	No	
row_5	NRG1	na	4476	0.39809778332710266	0.009209954	No	
row_6	MAP2K3	na	4622	0.3757473826408386	0.012492986	No	
row_7	TES	na	5504	0.2679392397403717	-0.0091482615	No	
row_8	NDN	na	5804	0.2324737161397934	-0.013571815	No	
row_9	HPS5	na	6606	0.1517004519701004	-0.0351448	No	
row_10	IRF5	na	8885	-0.035065460950136185	-0.104677685	No	
row_11	TSPYL5	na	12434	-0.1425943225622177	-0.2111598	No	
row_12	EIF2S2	na	13132	-0.16677916049957275	-0.22921407	No	
row_13	NME2	na	14562	-0.21073518693447113	-0.26893702	No	
row_14	SERPINB2	na	16086	-0.2535659968852997	-0.31067505	No	
row_15	IGSF3	na	16100	-0.25401681661605835	-0.30583337	No	
row_16	ESM1	na	18173	-0.31087255477905273	-0.36332056	No	
row_17	CD44	na	18422	-0.31704413890838623	-0.36442575	No	
row_18	HTATIP2	na	18680	-0.32398831844329834	-0.3656652	No	
row_19	IGFBP1	na	18957	-0.33138829469680786	-0.3673379	No	
row_20	FILIP1L	na	18976	-0.33176153898239136	-0.36104587	No	
row_21	CCN2	na	19273	-0.34061548113822937	-0.36314496	No	
row_22	CREG1	na	19561	-0.3498576581478119	-0.36477572	No	
row_23	TNFAIP3	na	19731	-0.35503214597702026	-0.36266044	No	
row_24	RBL2	na	19771	-0.355886310338974	-0.35651812	No	
row_25	CDKN1C	na	20835	-0.3904310464859009	-0.3812444	No	
row_26	IGFBP4	na	21746	-0.42166686058044434	-0.40060726	No	
row_27	CCND1	na	21971	-0.429984986782074	-0.3986413	No	
row_28	RAB5B	na	22106	-0.4346000552177429	-0.39380434	No	
row_29	IFI16	na	22388	-0.44537878036499023	-0.39327863	No	
row_30	CDKN2B	na	22522	-0.45029640197753906	-0.3880869	No	
row_31	CITED2	na	23477	-0.48981723189353943	-0.40740022	Yes	
row_32	ISG15	na	23578	-0.4944213330745697	-0.40028003	Yes	
row_33	IGFBP2	na	23630	-0.4969301223754883	-0.39159682	Yes	
row_34	THBS1	na	23770	-0.5026352405548096	-0.3855099	Yes	
row_35	CYP1B1	na	24047	-0.5144149661064148	-0.38340515	Yes	
row_36	IGFBP3	na	24254	-0.5237127542495728	-0.37894958	Yes	
row_37	STAT1	na	24262	-0.5242154598236084	-0.3683462	Yes	
row_38	RRAS	na	24278	-0.5254175066947937	-0.35796478	Yes	
row_39	IGFBP7	na	24503	-0.5346449017524719	-0.35383874	Yes	
row_40	HBS1L	na	24936	-0.553753674030304	-0.3557333	Yes	
row_41	MAP1LC3B	na	25144	-0.5630506277084351	-0.3504967	Yes	
row_42	CXCL14	na	25155	-0.5636983513832092	-0.339171	Yes	
row_43	HSPA2	na	25180	-0.5647333264350891	-0.32825568	Yes	
row_44	MDM2	na	25240	-0.5668506026268005	-0.31837612	Yes	
row_45	ALDH1A3	na	25377	-0.5733768939971924	-0.31073666	Yes	
row_46	IGFBP6	na	25454	-0.5771486163139343	-0.30116886	Yes	
row_47	S100A11	na	25604	-0.5849395394325256	-0.2936917	Yes	
row_48	IGFBP5	na	25675	-0.5886963605880737	-0.28370053	Yes	
row_49	AOPEP	na	25881	-0.5977708101272583	-0.27768564	Yes	
row_50	FN1	na	26596	-0.6347379088401794	-0.28660604	Yes	
row_51	TNFAIP2	na	26733	-0.6419923305511475	-0.27755043	Yes	
row_52	OPTN	na	27138	-0.6645516753196716	-0.27629468	Yes	
row_53	CRYAB	na	27303	-0.6737090945243835	-0.26744804	Yes	
row_54	F3	na	27455	-0.682452380657196	-0.25801998	Yes	
row_55	SERPINE1	na	27461	-0.6829877495765686	-0.24407804	Yes	
row_56	IRF7	na	27546	-0.6873780488967896	-0.23248196	Yes	
row_57	TGFB1I1	na	27810	-0.703779935836792	-0.22606796	Yes	
row_58	GSN	na	27869	-0.7070075273513794	-0.21326488	Yes	
row_59	COL1A2	na	28076	-0.7204433679580688	-0.204749	Yes	
row_60	CDKN2D	na	28352	-0.7401535511016846	-0.19795439	Yes	
row_61	RGL2	na	28568	-0.7565284967422485	-0.18897134	Yes	
row_62	CDKN1A	na	29512	-0.8292091488838196	-0.20094073	Yes	
row_63	SPARC	na	29577	-0.834875762462616	-0.18568362	Yes	
row_64	TFAP2A	na	29706	-0.8458458781242371	-0.17217396	Yes	
row_65	RABGGTA	na	29784	-0.8534555435180664	-0.15693432	Yes	
row_66	GUK1	na	30351	-0.9129750728607178	-0.1555477	Yes	
row_67	RAB31	na	30402	-0.9181190729141235	-0.13814075	Yes	
row_68	CLTB	na	30447	-0.9240657091140747	-0.12042603	Yes	
row_69	VIM	na	30830	-0.9689053893089294	-0.112210244	Yes	
row_70	RHOB	na	30884	-0.9750858545303345	-0.0937201	Yes	
row_71	RAB13	na	30963	-0.9864667057991028	-0.075766094	Yes	
row_72	ING1	na	31342	-1.0435237884521484	-0.0658869	Yes	
row_73	SMPD1	na	31449	-1.0623278617858887	-0.04723076	Yes	
row_74	SMURF2	na	31950	-1.1805298328399658	-0.03828655	Yes	
row_75	PEA15	na	32086	-1.2288556098937988	-0.017087858	Yes	
row_76	RAC1	na	32402	-1.445097804069519	0.0030224056	Yes	
