NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VENTX	na	357	5.0	0.024623817	No	
row_1	MAPKAPK3	na	750	4.0386810302734375	0.04131189	No	
row_2	RB1	na	774	3.9751453399658203	0.06894567	No	
row_3	RPS6KA1	na	961	3.5055103302001953	0.08819556	No	
row_4	IL1A	na	1060	3.274632215499878	0.1085176	No	
row_5	CXCL8	na	1324	2.75502347946167	0.12003764	No	
row_6	ATM	na	1379	2.6609692573547363	0.13734323	No	
row_7	AGO4	na	1937	1.9849299192428589	0.1342903	No	
row_8	CEBPB	na	2026	1.8967468738555908	0.1450964	No	
row_9	MAPK14	na	2096	1.8302353620529175	0.1560152	No	
row_10	ETS2	na	2131	1.798958420753479	0.16779216	No	
row_11	IFNB1	na	2303	1.6814239025115967	0.17449899	No	
row_12	RPS6KA3	na	2380	1.6037869453430176	0.18358688	No	
row_13	FOS	na	2385	1.60195791721344	0.19488588	No	
row_14	KDM6B	na	2975	1.2748901844024658	0.18578158	No	
row_15	ANAPC16	na	3226	1.132043480873108	0.18613075	No	
row_16	NFKB1	na	3244	1.1261769533157349	0.19363567	No	
row_17	UBE2D1	na	3249	1.1228976249694824	0.20151879	No	
row_18	MAP3K5	na	3348	1.0689729452133179	0.20611365	No	
row_19	UBA52	na	3458	1.0142885446548462	0.2099788	No	
row_20	E2F3	na	3595	0.9449751377105713	0.21251567	No	
row_21	CDKN1A	na	3815	0.8800891637802124	0.21202593	No	
row_22	MINK1	na	3907	0.8429398536682129	0.21522532	No	
row_23	MAP2K3	na	4033	0.7879140377044678	0.21698208	No	
row_24	RPS27A	na	4075	0.772710382938385	0.22122528	No	
row_25	PHC2	na	4205	0.7236406207084656	0.22240017	No	
row_26	MDM2	na	4763	0.5491945743560791	0.20910992	No	
row_27	MAPKAPK2	na	4870	0.5153725743293762	0.20951028	No	
row_28	IL6	na	5444	0.35328441858291626	0.19432884	No	
row_29	SP1	na	6062	0.21060766279697418	0.17677088	No	
row_30	EED	na	7317	-0.018689706921577454	0.13816696	No	
row_31	TFDP1	na	7962	-0.06615101546049118	0.1187449	No	
row_32	MRE11	na	8855	-0.08165900409221649	0.09177249	No	
row_33	CDC26	na	9682	-0.12362950295209885	0.067138135	No	
row_34	E2F2	na	12273	-0.23888368904590607	-0.011165949	No	
row_35	CCNA2	na	12286	-0.23948070406913757	-0.009829052	No	
row_36	UBE2C	na	13228	-0.28072986006736755	-0.036895674	No	
row_37	CDC27	na	13240	-0.2813906669616699	-0.035229053	No	
row_38	ANAPC15	na	14175	-0.3127652704715729	-0.061851013	No	
row_39	CCNE2	na	14467	-0.3224981129169464	-0.06854073	No	
row_40	RELA	na	15275	-0.3563207685947418	-0.09092898	No	
row_41	UBN1	na	15519	-0.3653129041194916	-0.09583065	No	
row_42	MAPK9	na	15731	-0.3751644790172577	-0.09967357	No	
row_43	CCNA1	na	15874	-0.3810857832431793	-0.10134279	No	
