NAME	TITLE	SCORE	
BRS3	na	5.0	
AC010745.2	na	5.0	
LINC01337	na	5.0	
HIST1H1T	na	5.0	
LINC01623	na	5.0	
AL138759.1	na	5.0	
MPO	na	5.0	
ZNF723	na	5.0	
GFY	na	5.0	
AL591468.2	na	5.0	
CRHR2	na	5.0	
LY6D	na	5.0	
GRIN1	na	5.0	
LINC02148	na	4.9870024	
SYT10	na	4.95716	
AC084782.2	na	4.8912497	
PVALB	na	4.87243	
CHAF1B	na	4.785096	
GAPDHS	na	4.78134	
AC092354.1	na	4.7645297	
KCNH4	na	4.7064934	
RIPPLY3	na	4.6432457	
AL356961.1	na	4.597712	
AC006449.5	na	4.5268183	
CDC6	na	4.51473	
ZNF648	na	4.356895	
CCNE1	na	4.317686	
KCNJ4	na	4.2757287	
E2F1	na	4.2422085	
RMI2	na	4.2389603	
DHRS2	na	4.2285795	
AC009065.8	na	4.2146783	
AC011466.2	na	4.1911564	
NXPH2	na	4.171896	
AC104024.1	na	4.142994	
AC024884.2	na	4.1302524	
POLD3	na	4.129468	
AC010746.2	na	4.1293287	
FAM111B	na	4.124041	
AC079154.1	na	4.123761	
MCM4	na	4.1198006	
AL136172.1	na	4.1113224	
MCM6	na	4.105408	
MCM2	na	4.0956287	
RIMBP3C	na	4.087544	
AL139424.1	na	4.0669246	
HOOK1	na	4.0470057	
AC084809.1	na	4.033	
AC233701.1	na	3.9640849	
AL353572.4	na	3.9598918	
AL160408.3	na	3.9412692	
GINS2	na	3.9341168	
WDR76	na	3.9313018	
DTL	na	3.919138	
AL157400.1	na	3.9105422	
TERT	na	3.905457	
AC011498.6	na	3.899744	
AC093307.1	na	3.8953378	
INSM2	na	3.895319	
KCNK5	na	3.8787518	
CHRNA5	na	3.869267	
UCON80	na	3.8570445	
AL137127.1	na	3.8479962	
E2F2	na	3.8257313	
AL135744.1	na	3.8133755	
U95743.1	na	3.8066072	
C17orf99	na	3.8028624	
EXO1	na	3.793125	
CDC45	na	3.7852948	
CPNE7	na	3.7812629	
CDT1	na	3.7717807	
AC104561.1	na	3.7692418	
PCNA	na	3.766954	
FEN1	na	3.7642665	
FEV	na	3.7486067	
TMPRSS6	na	3.7483077	
CHAF1A	na	3.7356682	
LINC00437	na	3.7329376	
HIST1H4F	na	3.7327952	
DDX11-AS1	na	3.7261171	
GLYATL1	na	3.7139008	
TEDC2	na	3.7084398	
PDX1	na	3.680111	
AC004034.1	na	3.6721425	
TCF19	na	3.6505249	
LINC01783	na	3.6347766	
PSMC3IP	na	3.629307	
MCM3	na	3.6271262	
HELLS	na	3.6184957	
CPLX3	na	3.6103258	
UNG	na	3.5910144	
CLSPN	na	3.5872989	
NTSR1	na	3.5766087	
RFC2	na	3.5555902	
MAL2	na	3.531272	
MER68C	na	3.5297737	
MCM10	na	3.5139298	
ARG1	na	3.5120008	
AC090912.2	na	3.5085475	
LIG1	na	3.490227	
TTC6	na	3.4835427	
ORC1	na	3.4727964	
AC016773.1	na	3.4723682	
AC253576.2	na	3.47197	
AL049836.2	na	3.4700506	
CNNM1	na	3.453676	
AC026333.4	na	3.4506967	
TP73	na	3.441185	
DSN1	na	3.4330678	
RBBP8	na	3.4288697	
AC022167.4	na	3.428452	
POLD1	na	3.4194052	
AC004477.3	na	3.416517	
MCM5	na	3.4022787	
DHFR	na	3.3941164	
AC004943.1	na	3.3807719	
OR5A1	na	3.3796628	
AC003973.1	na	3.3730795	
CDC25A	na	3.3648462	
KCNT1	na	3.3539987	
CDCA7	na	3.3537238	
DUT	na	3.3489778	
BRCA1	na	3.3486326	
AC022211.2	na	3.3466744	
C9	na	3.34594	
AC002542.6	na	3.345326	
TONSL	na	3.3273091	
CTXN3	na	3.3137026	
AC012213.4	na	3.311357	
RAD54L	na	3.309022	
RFC4	na	3.3087466	
AC004943.3	na	3.3058887	
DSCC1	na	3.29942	
AC239585.2	na	3.2917995	
HIST2H4B	na	3.2809634	
POLE2	na	3.277951	
CDH7	na	3.2688124	
MYB	na	3.2675903	
AC092580.4	na	3.264175	
UNC5A	na	3.2593946	
ZNF367	na	3.2590623	
POLA2	na	3.2544193	
TOP3A	na	3.2520838	
BLACE	na	3.2489564	
SLBP	na	3.2477825	
AL021878.2	na	3.2470293	
AL161757.4	na	3.2445662	
BRIP1	na	3.2399223	
FANCA	na	3.2280784	
POLA1	na	3.2225282	
SIX2	na	3.2202923	
MCM8	na	3.214399	
ASB16	na	3.2131042	
AC093824.2	na	3.212281	
AC025176.1	na	3.196753	
EED	na	3.1891239	
LINC01543	na	3.185425	
AC010203.2	na	3.1850457	
PLCXD1	na	3.1817966	
CASP8AP2	na	3.1743548	
MCM7	na	3.1683707	
WDHD1	na	3.1682622	
LINC01104	na	3.1657374	
MMS22L	na	3.1635745	
TAFA1	na	3.157796	
FOXA1	na	3.152198	
SLC27A2	na	3.1419852	
RIBC2	na	3.139909	
AC002310.2	na	3.1224048	
DDX11	na	3.1111715	
PRL	na	3.1111457	
TFDP1	na	3.1105862	
SYCE2	na	3.1079621	
SYT2	na	3.097114	
CCKBR	na	3.0962453	
RAD51	na	3.0886433	
DHCR24-DT	na	3.0877693	
MSH6	na	3.0877008	
DCLRE1B	na	3.084617	
AC013468.1	na	3.0748947	
LINC01305	na	3.0651672	
AC091133.3	na	3.0603738	
EXOSC9	na	3.0595536	
LINC01886	na	3.0538476	
ZGRF1	na	3.0514476	
AC009236.1	na	3.03494	
NUP155	na	3.0336158	
TUNAR	na	3.0324779	
KIAA0319	na	3.0265121	
AC009646.2	na	3.0227935	
ATAD2	na	3.012372	
GINS3	na	3.0106335	
CRYBA2	na	3.0100474	
AC022433.1	na	3.0083928	
MESP2	na	3.005731	
GINS4	na	3.0032995	
LINC01632	na	2.9982474	
C1QTNF2	na	2.994705	
