NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BMI1	na	1825	2.0282540321350098	0.20180692	No	
row_1	ID1	na	19676	-0.31221920251846313	-0.30789766	Yes	
row_2	COL3A1	na	20142	-0.3234613537788391	-0.28106818	Yes	
row_3	CDC25B	na	21391	-0.3605787754058838	-0.27361807	Yes	
row_4	ALDH1A1	na	22651	-0.4041542708873749	-0.26096404	Yes	
row_5	CCNB1	na	22693	-0.40574297308921814	-0.21061832	Yes	
row_6	MARCKS	na	23602	-0.4388287663459778	-0.18275028	Yes	
row_7	LDB2	na	24665	-0.4789324402809143	-0.15452139	Yes	
row_8	EGR1	na	28715	-0.6827334761619568	-0.19230925	Yes	
row_9	LAMA1	na	28906	-0.6969030499458313	-0.10951616	Yes	
row_10	E2F4	na	30576	-0.8374846577644348	-0.054365173	Yes	
row_11	CCN4	na	31033	-0.8927718997001648	0.045153674	Yes	
