NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AGO3	na	1483	2.322374105453491	0.06074788	Yes	
row_1	TNRC6C	na	2061	1.8842568397521973	0.12932327	Yes	
row_2	CDKN2A	na	3675	1.185744047164917	0.13398074	Yes	
row_3	AGO1	na	4058	1.0757187604904175	0.1715105	Yes	
row_4	MAPK3	na	4299	1.0086296796798706	0.21033943	Yes	
row_5	UBB	na	4384	0.9874613881111145	0.25300303	Yes	
row_6	MDM4	na	4633	0.9307311773300171	0.2880158	Yes	
row_7	TNRC6B	na	5747	0.6912489533424377	0.28541264	Yes	
row_8	TNRC6A	na	6337	0.5897499322891235	0.29429722	Yes	
row_9	CDK4	na	7776	0.3637068271636963	0.26667443	No	
row_10	CDKN2D	na	8348	0.2829112410545349	0.2620524	No	
row_11	ERF	na	10281	0.05041632428765297	0.204858	No	
row_12	SP1	na	12430	-0.07112937420606613	0.14196008	No	
row_13	AGO4	na	13261	-0.1026526466012001	0.12110054	No	
row_14	MAPK1	na	14965	-0.15584787726402283	0.07579068	No	
row_15	MDM2	na	15555	-0.17782393097877502	0.06579858	No	
row_16	E2F1	na	16061	-0.19827035069465637	0.059330616	No	
row_17	CDKN2B	na	16987	-0.23072285950183868	0.041413985	No	
row_18	ID1	na	19676	-0.31221920251846313	-0.02706767	No	
row_19	TFDP1	na	19870	-0.31692764163017273	-0.018488664	No	
row_20	E2F2	na	22745	-0.4074847400188446	-0.08833346	No	
row_21	TFDP2	na	23273	-0.42723825573921204	-0.08498648	No	
row_22	E2F3	na	24840	-0.48630353808403015	-0.11093356	No	
row_23	RB1	na	25409	-0.5099539756774902	-0.105058886	No	
row_24	ETS2	na	26049	-0.5369612574577332	-0.10013336	No	
row_25	UBC	na	27420	-0.6063692569732666	-0.114541665	No	
row_26	ETS1	na	27687	-0.6200765371322632	-0.09431912	No	
row_27	CDK6	na	29670	-0.7548167109489441	-0.1207741	No	
row_28	TP53	na	30051	-0.7871343493461609	-0.09640722	No	
row_29	CDKN2C	na	30604	-0.8408532738685608	-0.07487617	No	
row_30	MOV10	na	30879	-0.8727540969848633	-0.04332098	No	
row_31	RPS27A	na	31556	-0.9852370619773865	-0.018992642	No	
row_32	UBA52	na	31822	-1.0482535362243652	0.020882068	No	
