NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MDM4	na	355	1.9753577709197998	0.028175585	No	
row_1	MAPK10	na	1627	0.8261146545410156	0.0053522643	No	
row_2	AGO3	na	2732	0.46387946605682373	-0.0194963	No	
row_3	TNRC6A	na	4177	0.1575498878955841	-0.060893256	No	
row_4	TNIK	na	4284	0.13779900968074799	-0.061432164	No	
row_5	TNRC6B	na	4342	0.12903690338134766	-0.060633976	No	
row_6	CDKN2A	na	4367	0.12476446479558945	-0.058903046	No	
row_7	TNRC6C	na	6789	-0.07307171821594238	-0.13209292	No	
row_8	E2F1	na	6828	-0.07760776579380035	-0.13172749	No	
row_9	JUN	na	9170	-0.15567678213119507	-0.20081514	No	
row_10	CDKN2B	na	9413	-0.16524645686149597	-0.20500323	No	
row_11	CDK4	na	9785	-0.17992857098579407	-0.2128775	No	
row_12	KDM6B	na	9869	-0.18393582105636597	-0.21179365	No	
row_13	MAPK11	na	11095	-0.227961927652359	-0.24504462	No	
row_14	IFNB1	na	11990	-0.2567477524280548	-0.2675211	No	
row_15	EZH2	na	15614	-0.3516552150249481	-0.3722504	No	
row_16	PHC3	na	15819	-0.3572782278060913	-0.37146398	No	
row_17	E2F2	na	15855	-0.35826247930526733	-0.365448	No	
row_18	CBX2	na	16562	-0.377311110496521	-0.379741	No	
row_19	TP53	na	16714	-0.3816078007221222	-0.37683886	No	
row_20	CBX4	na	17999	-0.423175185918808	-0.40804273	No	
row_21	MAP2K6	na	18880	-0.4508230984210968	-0.42624417	No	
row_22	FOS	na	19277	-0.4638350009918213	-0.4292667	No	
row_23	AGO4	na	19951	-0.4876902997493744	-0.4403564	No	
row_24	CDK6	na	21687	-0.5563027858734131	-0.48282772	No	
row_25	MAP3K5	na	21836	-0.5631312131881714	-0.4762382	No	
row_26	EED	na	22032	-0.5716429948806763	-0.47092906	No	
row_27	MOV10	na	22437	-0.5907997488975525	-0.4716838	No	
row_28	CBX6	na	22639	-0.6000943779945374	-0.4659962	No	
row_29	MAPKAPK3	na	23624	-0.652100682258606	-0.48341778	Yes	
row_30	MAP2K7	na	23661	-0.6540241241455078	-0.47157535	Yes	
row_31	TFDP1	na	23701	-0.6563432812690735	-0.4597795	Yes	
row_32	MAP4K4	na	23790	-0.6608043313026428	-0.4494059	Yes	
row_33	CDKN2C	na	23854	-0.663860023021698	-0.4382011	Yes	
row_34	RBBP4	na	24063	-0.676130473613739	-0.43122348	Yes	
row_35	CDKN2D	na	24180	-0.6836515069007874	-0.42126063	Yes	
row_36	MAPKAPK5	na	24825	-0.7255066633224487	-0.4267466	Yes	
row_37	TFDP2	na	24923	-0.7315353751182556	-0.41524974	Yes	
row_38	MINK1	na	25271	-0.7533532381057739	-0.41102803	Yes	
row_39	SCMH1	na	25501	-0.770000159740448	-0.40283883	Yes	
row_40	PHC1	na	26840	-0.8878815174102783	-0.42650446	Yes	
row_41	AGO1	na	27054	-0.907088041305542	-0.41510713	Yes	
row_42	CBX8	na	27195	-0.9206345677375793	-0.40119097	Yes	
row_43	E2F3	na	27579	-0.9651290774345398	-0.3938851	Yes	
row_44	MAPK1	na	27778	-0.9862017631530762	-0.38045856	Yes	
row_45	MAPK8	na	27966	-1.0084381103515625	-0.36625254	Yes	
row_46	SUZ12	na	28019	-1.0162549018859863	-0.3477298	Yes	
row_47	RING1	na	28074	-1.0247806310653687	-0.32909986	Yes	
row_48	MAPK14	na	28406	-1.0656850337982178	-0.3181995	Yes	
row_49	MAP2K3	na	28941	-1.1411725282669067	-0.31206244	Yes	
row_50	MDM2	na	28968	-1.144565224647522	-0.2901971	Yes	
row_51	RBBP7	na	29060	-1.1610260009765625	-0.27000964	Yes	
row_52	MAPK3	na	29100	-1.167284369468689	-0.24809514	Yes	
row_53	MAPK9	na	29347	-1.2072956562042236	-0.23176984	Yes	
row_54	PHC2	na	30085	-1.336000680923462	-0.22803272	Yes	
row_55	BMI1	na	30212	-1.3592573404312134	-0.20499852	Yes	
row_56	UBB	na	30531	-1.4187108278274536	-0.18670607	Yes	
row_57	UBC	na	31128	-1.5582722425460815	-0.1742202	Yes	
row_58	MAP2K4	na	31244	-1.589125633239746	-0.1462946	Yes	
row_59	TXN	na	31434	-1.6445143222808838	-0.119553395	Yes	
row_60	RNF2	na	31491	-1.6595003604888916	-0.08841516	Yes	
row_61	MAPKAPK2	na	31739	-1.7589324712753296	-0.06119612	Yes	
row_62	UBA52	na	32278	-2.112955331802368	-0.035937265	Yes	
row_63	RPS27A	na	32309	-2.158679962158203	0.005888247	Yes	
