map	cluster	NAME	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GTE	cluster0	GOBP_MULTICELLULAR_ORGANISM_AGING	41	0.32515213	0.8653908	0.68262225	1.0	1.0	2266	tags=12%, list=7%, signal=13%	
GTE	cluster0	FRIDMAN_SENESCENCE_DN	12	0.36510205	0.8124609	0.7226368	1.0	1.0	649	tags=8%, list=2%, signal=8%	
GTE	cluster0	FRIDMAN_SENESCENCE_UP	77	0.26137698	0.7325419	0.8891129	1.0	1.0	5315	tags=17%, list=16%, signal=20%	
GTE	cluster0	FRIDMAN_IMMORTALIZATION_DN	33	0.23781817	0.611874	0.9461457	0.94634074	1.0	5025	tags=18%, list=15%, signal=21%	
GTE	cluster10	FRIDMAN_IMMORTALIZATION_DN	33	0.664256	1.6305196	0.0010822511	0.009428572	0.009	7909	tags=61%, list=24%, signal=80%	
GTE	cluster10	FRIDMAN_SENESCENCE_UP	77	0.6071276	1.6195724	0.0	0.0063571436	0.012	8616	tags=64%, list=27%, signal=86%	
GTE	cluster10	FRIDMAN_SENESCENCE_DN	12	0.62900347	1.3369378	0.11664482	0.19222224	0.431	4987	tags=42%, list=15%, signal=49%	
GTE	cluster10	GOBP_MULTICELLULAR_ORGANISM_AGING	41	0.43708178	1.1069884	0.34962806	0.680285	0.955	2915	tags=17%, list=9%, signal=19%	
GTE	cluster10	REACTOME_ONCOGENE_INDUCED_SENESCENCE	33	0.39728478	0.98270684	0.53207964	0.86356974	0.995	4987	tags=24%, list=15%, signal=29%	
GTE	cluster10	REACTOME_CELLULAR_SENESCENCE	129	0.3527328	0.9562431	0.602	0.7685432	0.997	8079	tags=35%, list=25%, signal=46%	
GTE	cluster10	REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	64	0.3085221	0.8097731	0.80203044	0.8946209	1.0	9272	tags=38%, list=29%, signal=52%	
GTE	cluster10	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	28	0.20390551	0.4886484	0.9823204	0.98877215	1.0	7484	tags=21%, list=23%, signal=28%	
GTE	cluster1	FRIDMAN_SENESCENCE_UP	77	0.41339028	1.3162035	0.08289612	0.5398338	0.547	4548	tags=23%, list=14%, signal=27%	
GTE	cluster1	FRIDMAN_IMMORTALIZATION_DN	33	0.4475927	1.2794679	0.13916947	0.34836334	0.649	4615	tags=24%, list=14%, signal=28%	
GTE	cluster1	REACTOME_CELLULAR_SENESCENCE	129	0.28938347	0.9561983	0.58087486	0.92788893	0.998	5870	tags=22%, list=18%, signal=27%	
GTE	cluster1	REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	64	0.24327712	0.7613513	0.82539684	1.0	1.0	4879	tags=19%, list=15%, signal=22%	
GTE	cluster1	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	28	0.26148233	0.7149218	0.8463357	0.86872464	1.0	3241	tags=14%, list=10%, signal=16%	
GTE	cluster2	REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	64	0.48326442	1.4189152	0.016096579	0.17060709	0.195	10058	tags=53%, list=31%, signal=77%	
GTE	cluster2	REACTOME_ONCOGENE_INDUCED_SENESCENCE	33	0.40391675	1.1075445	0.3511206	0.97690976	0.951	10058	tags=45%, list=31%, signal=66%	
GTE	cluster2	FRIDMAN_SENESCENCE_DN	12	0.47361186	1.0948162	0.3623011	0.6900947	0.957	5865	tags=33%, list=18%, signal=41%	
GTE	cluster2	REACTOME_CELLULAR_SENESCENCE	129	0.33682615	1.0221125	0.456	0.6988643	0.995	10058	tags=40%, list=31%, signal=58%	
GTE	cluster2	GOBP_MULTICELLULAR_ORGANISM_AGING	41	0.31315392	0.8795074	0.67805386	0.84076446	1.0	8267	tags=29%, list=25%, signal=39%	
GTE	cluster2	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	28	0.28142852	0.7499036	0.8193411	0.85789895	1.0	7040	tags=25%, list=22%, signal=32%	
GTE	cluster3	GOBP_MULTICELLULAR_ORGANISM_AGING	41	0.23968327	0.806397	0.75525814	0.75130683	0.98	4009	tags=22%, list=12%, signal=25%	
GTE	cluster4	FRIDMAN_IMMORTALIZATION_DN	33	0.4926852	1.502315	0.045751635	0.09682142	0.153	4033	tags=33%, list=12%, signal=38%	
GTE	cluster4	FRIDMAN_SENESCENCE_UP	77	0.35595417	1.2826759	0.12426901	0.21351235	0.53	4763	tags=30%, list=15%, signal=35%	
GTE	cluster4	GOBP_MULTICELLULAR_ORGANISM_AGING	41	0.348492	1.1016744	0.32352942	0.3199869	0.839	4010	tags=24%, list=12%, signal=28%	
GTE	cluster5	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	28	0.6977163	1.8071967	0.0	0.0	0.0	5602	tags=54%, list=17%, signal=65%	
GTE	cluster5	REACTOME_ONCOGENE_INDUCED_SENESCENCE	33	0.57504386	1.5397049	0.009846827	0.023348218	0.066	6877	tags=42%, list=21%, signal=54%	
GTE	cluster5	REACTOME_CELLULAR_SENESCENCE	129	0.51402056	1.5319453	0.0	0.016636906	0.071	7025	tags=40%, list=22%, signal=50%	
